Time,Joint States
1729156693.104403,"(-0.14112623232421875, -0.2592427528564453, 0.6491908602589155, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, -0.0015339807861328126, 1.080450036932096, -0.09050486638183594, 0.7919207657059112, -0.6534758148925782, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729156693.115779,"(-0.14266021311035157, -0.26231071442871096, 0.6491908602589155, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, -0.0015339807861328126, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6534758148925782, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.003067961572265625, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729156693.120488,"(-0.14419419389648439, -0.2669126567871094, 0.6491908602589155, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, -0.0015339807861328126, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6534758148925782, 0.04143771448461163, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729156693.128573,"(-0.14726215546875002, -0.27151459914550785, 0.6491908602589155, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, -0.0015339807861328126, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6534758148925782, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
1729156693.136489,"(-0.14879613625488283, -0.2745825607177735, 0.6491908602589155, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, -0.0015339807861328126, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6534758148925782, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729156693.144481,"(-0.15033011704101565, -0.2791845030761719, 0.6491908602589155, -0.027611654150390626, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, -0.0015339807861328126, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6534758148925782, 0.04143771448461163, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729156693.152513,"(-0.15339807861328125, -0.2807184838623047, 0.6491908602589155, -0.027611654150390626, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, -0.0015339807861328126, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6534758148925782, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729156693.160454,"(-0.15339807861328125, -0.2837864454345703, 0.6491908602589155, -0.027611654150390626, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, -0.0015339807861328126, 1.0819847670981926, -0.08897088559570313, 0.7919207657059112, -0.6534758148925782, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, -0.003067961572265625, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
1729156693.168367,"(-0.15493205939941407, -0.28685440700683595, 0.6491908602589155, -0.02914563493652344, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, -0.0015339807861328126, 1.080450036932096, -0.09050486638183594, 0.7919207657059112, -0.6534758148925782, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, -0.0015339807861328126, -1.1106020891601562, 0.08747961946751344, -0.7992039895751953)"
1729156693.177411,"(-0.15646604018554688, -0.28838838779296877, 0.6491908602589155, -0.02914563493652344, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, -0.0015339807861328126, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6534758148925782, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1106020891601562, 0.08747961946751344, -0.8007379703613282)"
