Time,Joint States
1729156181.786936,"(-0.14879613625488283, -0.2899223685791016, 0.6430519395945286, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.042951462011718754, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.027625142989741086, -0.0015339807861328126, -1.1152040315185547, 0.08287542896922326, -0.8007379703613282)"
1729156181.794484,"(-0.15186409782714844, -0.2929903301513672, 0.6430519395945286, -0.026077673364257814, -0.7915340856445313, -0.5506991022216797, -0.042951462011718754, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6534758148925782, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.027625142989741086, -0.0015339807861328126, -1.1152040315185547, 0.08287542896922326, -0.7992039895751953)"
1729156181.802433,"(-0.15339807861328125, -0.29605829172363285, 0.6445866697606254, -0.024543692578125, -0.7915340856445313, -0.5506991022216797, -0.042951462011718754, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.029159873155837814, -0.003067961572265625, -1.1152040315185547, 0.08441015913531999, -0.7992039895751953)"
1729156181.810844,"(-0.15646604018554688, -0.3006602340820313, 0.6445866697606254, -0.026077673364257814, -0.7915340856445313, -0.5506991022216797, -0.042951462011718754, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.029159873155837814, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.818557,"(-0.1580000209716797, -0.3052621764404297, 0.6445866697606254, -0.026077673364257814, -0.7915340856445313, -0.5506991022216797, -0.042951462011718754, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.029159873155837814, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.826549,"(-0.16106798254394533, -0.3083301380126953, 0.6445866697606254, -0.026077673364257814, -0.7915340856445313, -0.5506991022216797, -0.042951462011718754, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.550968129628725, 0.029159873155837814, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.7992039895751953)"
1729156181.834511,"(-0.16260196333007815, -0.31139809958496095, 0.6445866697606254, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.550968129628725, 0.029159873155837814, -0.0015339807861328126, -1.1152040315185547, 0.08287542896922326, -0.8007379703613282)"
1729156181.843648,"(-0.16413594411621094, -0.3160000419433594, 0.6445866697606254, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.029159873155837814, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.851833,"(-0.16720390568847657, -0.31906800351562503, 0.6445866697606254, -0.027611654150390626, -0.7915340856445313, -0.5506991022216797, -0.04448544279785156, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.029159873155837814, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.865911,"(-0.16873788647460938, -0.32213596508789066, 0.6445866697606254, -0.027611654150390626, -0.7915340856445313, -0.5506991022216797, -0.04448544279785156, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.029159873155837814, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.866366,"(-0.1702718672607422, -0.3236699458740235, 0.6445866697606254, -0.027611654150390626, -0.7915340856445313, -0.5506991022216797, -0.04448544279785156, -0.0015339807861328126, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.029159873155837814, -0.003067961572265625, -1.1152040315185547, 0.08441015913531999, -0.7992039895751953)"
1729156181.874606,"(-0.1702718672607422, -0.3267379074462891, 0.6445866697606254, -0.027611654150390626, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.0, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.03069460332193454, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.882556,"(-0.1702718672607422, -0.3267379074462891, 0.6445866697606254, -0.02914563493652344, -0.7915340856445313, -0.5506991022216797, -0.04448544279785156, 0.0, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.03069460332193454, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.89047,"(-0.17180584804687501, -0.3298058690185547, 0.6445866697606254, -0.02914563493652344, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.0, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.03069460332193454, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.905111,"(-0.17180584804687501, -0.3313398498046875, 0.6445866697606254, -0.03067961572265625, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.0, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.03069460332193454, -0.003067961572265625, -1.1152040315185547, 0.08287542896922326, -0.8007379703613282)"
1729156181.906642,"(-0.17333982883300783, -0.3313398498046875, 0.6445866697606254, -0.03067961572265625, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.0, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.03069460332193454, -0.003067961572265625, -1.1152040315185547, 0.08441015913531999, -0.7992039895751953)"
1729156181.914521,"(-0.17333982883300783, -0.3328738305908203, 0.6445866697606254, -0.03067961572265625, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.03222933348803127, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.922568,"(-0.17333982883300783, -0.3328738305908203, 0.6430519395945286, -0.03067961572265625, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0773805765999023, -0.08897088559570313, 0.7919207657059112, -0.6519418341064454, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.930909,"(-0.17333982883300783, -0.3328738305908203, 0.6445866697606254, -0.032213596508789064, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.7992039895751953)"
1729156181.938593,"(-0.17333982883300783, -0.3328738305908203, 0.6445866697606254, -0.032213596508789064, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.7992039895751953)"
1729156181.946501,"(-0.17180584804687501, -0.3328738305908203, 0.6445866697606254, -0.032213596508789064, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.003067961572265625, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.954726,"(-0.1702718672607422, -0.3328738305908203, 0.6445866697606254, -0.032213596508789064, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.050646095481192, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.962389,"(-0.16873788647460938, -0.3328738305908203, 0.6445866697606254, -0.03374757729492188, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.050646095481192, 0.7857818450415243, 0.5478986692965315, 0.033764063654128, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
1729156181.970428,"(-0.16720390568847657, -0.3328738305908203, 0.6430519395945286, -0.032213596508789064, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0773805765999023, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, -0.0015339807861328126, -1.1152040315185547, 0.08441015913531999, -0.8007379703613282)"
