Time,Joint States
1729143973.267603,"(-0.29759227250976567, -0.19021361748046875, 0.6507255904250123, -0.027611654150390626, -0.7915340856445313, -0.5522330830078125, -0.042951462011718754, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7934554958720078, -0.6504078533203126, 0.04450717481680508, 0.7857818450415243, 0.550968129628725, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.275558,"(-0.3006602340820313, -0.19174759826660157, 0.6522603205911089, -0.027611654150390626, -0.7915340856445313, -0.5522330830078125, -0.042951462011718754, 0.001534730166096727, 1.0835194972642892, -0.09050486638183594, 0.7919207657059112, -0.6504078533203126, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.03222933348803127, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.283692,"(-0.3037281956542969, -0.19174759826660157, 0.6522603205911089, -0.02914563493652344, -0.7915340856445313, -0.5506991022216797, -0.042951462011718754, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7919207657059112, -0.6504078533203126, 0.04604190498290181, 0.7857818450415243, 0.550968129628725, 0.03222933348803127, 0.001534730166096727, -1.1106020891601562, 0.08747961946751344, -0.7992039895751953)"
1729143973.292321,"(-0.3052621764404297, -0.19328157905273438, 0.6507255904250123, -0.02914563493652344, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7919207657059112, -0.6504078533203126, 0.04604190498290181, 0.7857818450415243, 0.550968129628725, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08747961946751344, -0.8007379703613282)"
1729143973.299609,"(-0.3067961572265625, -0.19328157905273438, 0.6507255904250123, -0.02914563493652344, -0.7915340856445313, -0.5522330830078125, -0.04448544279785156, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7934554958720078, -0.6504078533203126, 0.04604190498290181, 0.7857818450415243, 0.550968129628725, 0.03222933348803127, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.307655,"(-0.3083301380126953, -0.1948155598388672, 0.6507255904250123, -0.02914563493652344, -0.7915340856445313, -0.5506991022216797, -0.04448544279785156, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7934554958720078, -0.6504078533203126, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.315837,"(-0.3083301380126953, -0.1948155598388672, 0.6522603205911089, -0.02914563493652344, -0.7915340856445313, -0.5506991022216797, -0.04448544279785156, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7919207657059112, -0.6488738725341797, 0.04604190498290181, 0.7857818450415243, 0.550968129628725, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.324204,"(-0.30986411879882814, -0.196349540625, 0.6507255904250123, -0.03067961572265625, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7919207657059112, -0.6504078533203126, 0.04604190498290181, 0.7857818450415243, 0.550968129628725, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
1729143973.332347,"(-0.30986411879882814, -0.196349540625, 0.6507255904250123, -0.03067961572265625, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7934554958720078, -0.6488738725341797, 0.04604190498290181, 0.7857818450415243, 0.550968129628725, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.33967,"(-0.3083301380126953, -0.196349540625, 0.6522603205911089, -0.032213596508789064, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7934554958720078, -0.6488738725341797, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.34804,"(-0.3083301380126953, -0.196349540625, 0.6522603205911089, -0.032213596508789064, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7934554958720078, -0.6488738725341797, 0.04604190498290181, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.356749,"(-0.3067961572265625, -0.196349540625, 0.6522603205911089, -0.032213596508789064, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7934554958720078, -0.6488738725341797, 0.04604190498290181, 0.7857818450415243, 0.550968129628725, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
1729143973.36399,"(-0.3052621764404297, -0.196349540625, 0.6507255904250123, -0.03374757729492188, -0.7915340856445313, -0.5506991022216797, -0.04601942358398438, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7919207657059112, -0.6488738725341797, 0.047576635148998535, 0.7857818450415243, 0.550968129628725, 0.033764063654128, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.371989,"(-0.3037281956542969, -0.196349540625, 0.6507255904250123, -0.03374757729492188, -0.7915340856445313, -0.5522330830078125, -0.04755340437011719, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7919207657059112, -0.6488738725341797, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.033764063654128, 0.001534730166096727, -1.1090681083740235, 0.08594488930141672, -0.7992039895751953)"
1729143973.381174,"(-0.30219421486816406, -0.196349540625, 0.6507255904250123, -0.03374757729492188, -0.7915340856445313, -0.5522330830078125, -0.04755340437011719, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7934554958720078, -0.6488738725341797, 0.047576635148998535, 0.7857818450415243, 0.550968129628725, 0.03529879382022472, 0.001534730166096727, -1.1106020891601562, 0.08747961946751344, -0.8007379703613282)"
1729143973.387946,"(-0.2991262532958985, -0.196349540625, 0.6507255904250123, -0.03374757729492188, -0.7915340856445313, -0.5522330830078125, -0.04755340437011719, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7919207657059112, -0.6488738725341797, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, 0.001534730166096727, -1.1090681083740235, 0.08594488930141672, -0.7992039895751953)"
1729143973.395995,"(-0.29605829172363285, -0.196349540625, 0.6522603205911089, -0.03374757729492188, -0.7915340856445313, -0.5506991022216797, -0.04755340437011719, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7934554958720078, -0.6488738725341797, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
1729143973.403937,"(-0.29452431093750003, -0.196349540625, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.04755340437011719, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7919207657059112, -0.6488738725341797, 0.050646095481192, 0.7857818450415243, 0.550968129628725, 0.03529879382022472, 0.001534730166096727, -1.1106020891601562, 0.08747961946751344, -0.8007379703613282)"
1729143973.411935,"(-0.2929903301513672, -0.196349540625, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.04755340437011719, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7934554958720078, -0.647339891748047, 0.047576635148998535, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.419662,"(-0.2914563493652344, -0.196349540625, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.04755340437011719, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7934554958720078, -0.647339891748047, 0.050646095481192, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.427815,"(-0.28685440700683595, -0.196349540625, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.04755340437011719, 0.001534730166096727, 1.0835194972642892, -0.09050486638183594, 0.7934554958720078, -0.647339891748047, 0.050646095481192, 0.7857818450415243, 0.550968129628725, 0.03529879382022472, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.435681,"(-0.28532042622070314, -0.196349540625, 0.6507255904250123, -0.036815538867187504, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7934554958720078, -0.647339891748047, 0.050646095481192, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, 0.0, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.444701,"(-0.2822524646484375, -0.196349540625, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7934554958720078, -0.647339891748047, 0.050646095481192, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, 0.0, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
1729143973.451649,"(-0.2807184838623047, -0.196349540625, 0.6507255904250123, -0.036815538867187504, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7919207657059112, -0.647339891748047, 0.050646095481192, 0.7857818450415243, 0.550968129628725, 0.03683352398632145, 0.0, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
1729143973.459903,"(-0.27765052229003906, -0.196349540625, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.0819847670981926, -0.08897088559570313, 0.7934554958720078, -0.647339891748047, 0.052180825647288716, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.0, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.467968,"(-0.27611654150390624, -0.196349540625, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.0835194972642892, -0.09050486638183594, 0.7934554958720078, -0.647339891748047, 0.050646095481192, 0.7857818450415243, 0.5494333994626284, 0.03529879382022472, 0.0, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.476307,"(-0.2745825607177735, -0.196349540625, 0.6507255904250123, -0.03528155808105469, -0.7900001048583984, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7934554958720078, -0.647339891748047, 0.052180825647288716, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.0, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729143973.483967,"(-0.27304857993164067, -0.196349540625, 0.6507255904250123, -0.036815538867187504, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.0835194972642892, -0.08897088559570313, 0.7919207657059112, -0.647339891748047, 0.052180825647288716, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.0, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
