com_x,com_y,com_z,proj_com_x,proj_com_y,proj_com_z,moment_x,moment_y,zmp_x,zmp_y,support_phase,area,perimeter
-25.5798912,-4.59220479362,0.932902198723,-25.5798912,-4.59220479362,0,0.6037074,0.9282001275,-25.2794002361,-4.59838859452,Double Support,229.33,42.7076809621
-25.6490564383,-4.20624937457,0.84808829178,-25.6490564383,-4.20624937457,0,0.6037074,0.9282001275,-25.3755741662,-4.21139889463,Double Support,229.33,42.7076809621
-25.6003415275,-4.48192364172,0.909467798037,-25.6003415275,-4.48192364172,0,0.6037074,0.9282001275,-25.3075968626,-4.48780023412,Double Support,229.33,42.7076809621
-25.6530606917,-4.18392131446,0.836966839331,-25.6530606917,-4.18392131446,0,0.6037074,0.9282001275,-25.3835831756,-4.1889640384,Double Support,229.33,42.7076809621
-25.6122759646,-4.4199498711,0.873220634783,-25.6122759646,-4.4199498711,0,0.6037074,0.9282001275,-25.3311697576,-4.42558848443,Double Support,229.33,42.7076809621
-25.671126792,-4.06862684895,0.851206471389,-25.671126792,-4.06862684895,0,0.6037074,0.9282001275,-25.3970867279,-4.07363716893,Double Support,229.33,42.7076809621
-25.6906902968,-3.94025299516,0.867739209086,-25.6906902968,-3.94025299516,0,0.6037074,0.9282001275,-25.411289325,-3.94522781688,Double Support,229.33,42.7076809621
-25.6420111176,-4.24465012314,0.870385386491,-25.6420111176,-4.24465012314,0,0.6037074,0.9282001275,-25.36176843,-4.24998310551,Double Support,229.33,42.7076809621
-25.6087476054,-4.44093225337,0.873895827349,-25.6087476054,-4.44093225337,0,0.6037074,0.9282001275,-25.3277239704,-4.4465025024,Double Support,229.33,42.7076809621
-25.6140205337,-4.41079117553,0.872127663456,-25.6140205337,-4.41079117553,0,0.6037074,0.9282001275,-25.3330295613,-4.4163267628,Double Support,229.33,42.7076809621
-25.6489569511,-4.20769174476,0.845189201827,-25.6489569511,-4.20769174476,0,0.6037074,0.9282001275,-25.3765654724,-4.21282023907,Double Support,229.33,42.7076809621
-25.6070784116,-4.44851940049,0.882956302793,-25.6070784116,-4.44851940049,0,0.6037074,0.9282001275,-25.3235909518,-4.45415234657,Double Support,229.33,42.7076809621
-25.5580525774,-4.72227367052,0.880661688713,-25.5580525774,-4.72227367052,0,0.6037074,0.9282001275,-25.2739494943,-4.72785359252,Double Support,229.33,42.7076809621
-25.656070846,-4.16290769058,0.854377935971,-25.656070846,-4.16290769058,0,0.6037074,0.9282001275,-25.3803902981,-4.16805498111,Double Support,229.33,42.7076809621
-25.6574528556,-4.15280979215,0.861864784609,-25.6574528556,-4.15280979215,0,0.6037074,0.9282001275,-25.3796815423,-4.1579888506,Double Support,229.33,42.7076809621
-25.6628122891,-4.12341636017,0.843348262483,-25.6628122891,-4.12341636017,0,0.6037074,0.9282001275,-25.3914103267,-4.1284329986,Double Support,229.33,42.7076809621
-25.5940449135,-4.52501042083,0.869654505459,-25.5940449135,-4.52501042083,0,0.6037074,0.9282001275,-25.313498833,-4.5306645731,Double Support,229.33,42.7076809621
-25.6336419632,-4.29257368427,0.884162836447,-25.6336419632,-4.29257368427,0,0.6037074,0.9282001275,-25.3489179909,-4.29805572931,Double Support,229.33,42.7076809621
-25.6661631225,-4.09834485198,0.862494969231,-25.6661631225,-4.09834485198,0,0.6037074,0.9282001275,-25.3879573697,-4.10347224466,Double Support,229.33,42.7076809621
-25.7078021659,-3.83338390827,0.837779124166,-25.7078021659,-3.83338390827,0,0.6037074,0.9282001275,-25.4384919949,-3.83804633793,Double Support,229.33,42.7076809621
-25.6930396348,-3.93236201415,0.835326540162,-25.6930396348,-3.93236201415,0,0.6037074,0.9282001275,-25.4238347848,-3.93740560034,Double Support,229.33,42.7076809621
-25.5677428057,-4.65876268091,0.933992415135,-25.5677428057,-4.65876268091,0,0.6037074,0.9282001275,-25.2670544569,-4.6650317568,Double Support,229.33,42.7076809621
-25.6193312487,-4.37660021926,0.884645391518,-25.6193312487,-4.37660021926,0,0.6037074,0.9282001275,-25.3342688851,-4.38239699841,Double Support,229.33,42.7076809621
-25.6377022614,-4.27603733063,0.844519201262,-25.6377022614,-4.27603733063,0,0.6037074,0.9282001275,-25.3663498837,-4.28121826023,Double Support,229.33,42.7076809621
-25.6176269383,-4.38687575397,0.88455359317,-25.6176269383,-4.38687575397,0,0.6037074,0.9282001275,-25.3329248977,-4.39255906863,Double Support,229.33,42.7076809621
-25.6087442876,-4.43973148595,0.877773048219,-25.6087442876,-4.43973148595,0,0.6037074,0.9282001275,-25.3263137126,-4.44533120664,Double Support,229.33,42.7076809621
-25.6229008583,-4.35389108824,0.89446586242,-25.6229008583,-4.35389108824,0,0.6037074,0.9282001275,-25.335264577,-4.35932752944,Double Support,229.33,42.7076809621
-25.6112059789,-4.41940173894,0.903572243038,-25.6112059789,-4.41940173894,0,0.6037074,0.9282001275,-25.3201810521,-4.4251668753,Double Support,229.33,42.7076809621
-25.7111665609,-3.81236156613,0.835267843367,-25.7111665609,-3.81236156613,0,0.6037074,0.9282001275,-25.4423880576,-3.81721283133,Double Support,229.33,42.7076809621
-25.6408442588,-4.24989197866,0.875875198376,-25.6408442588,-4.24989197866,0,0.6037074,0.9282001275,-25.3587322828,-4.2552702261,Double Support,229.33,42.7076809621
-25.6615873138,-4.1312026677,0.840253951112,-25.6615873138,-4.1312026677,0,0.6037074,0.9282001275,-25.390964946,-4.13621195344,Double Support,229.33,42.7076809621
-25.6425377869,-4.24823406136,0.836610130995,-25.6425377869,-4.24823406136,0,0.6037074,0.9282001275,-25.3729886347,-4.25334743682,Double Support,229.33,42.7076809621
-25.6018577762,-4.48264514358,0.857241080656,-25.6018577762,-4.48264514358,0,0.6037074,0.9282001275,-25.3260523091,-4.48781148466,Double Support,229.33,42.7076809621
-25.6783392044,-4.02560732011,0.843153914517,-25.6783392044,-4.02560732011,0,0.6037074,0.9282001275,-25.4068818532,-4.03051909014,Double Support,229.33,42.7076809621
-25.702449589,-3.87304737102,0.819382981761,-25.702449589,-3.87304737102,0,0.6037074,0.9282001275,-25.4384593452,-3.87804901556,Double Support,229.33,42.7076809621
-25.6800233027,-4.01600063074,0.836387216534,-25.6800233027,-4.01600063074,0,0.6037074,0.9282001275,-25.4107914443,-4.02085789354,Double Support,229.33,42.7076809621
-25.610133216,-4.42961735753,0.891866429275,-25.610133216,-4.42961735753,0,0.6037074,0.9282001275,-25.3232082072,-4.43530414893,Double Support,229.33,42.7076809621
-25.6292587284,-4.32577540242,0.849129986264,-25.6292587284,-4.32577540242,0,0.6037074,0.9282001275,-25.3558891481,-4.33105301637,Double Support,229.33,42.7076809621
-25.6173812894,-4.39233614666,0.864085777142,-25.6173812894,-4.39233614666,0,0.6037074,0.9282001275,-25.3384018508,-4.39780742853,Double Support,229.33,42.7076809621
-25.6404847271,-4.25697234877,0.855415470815,-25.6404847271,-4.25697234877,0,0.6037074,0.9282001275,-25.3649053027,-4.2622211569,Double Support,229.33,42.7076809621
-25.5955910076,-4.51489305881,0.881657895875,-25.5955910076,-4.51489305881,0,0.6037074,0.9282001275,-25.3114345461,-4.52061612667,Double Support,229.33,42.7076809621
-25.7016120621,-3.87883297144,0.817890880955,-25.7016120621,-3.87883297144,0,0.6037074,0.9282001275,-25.4381171459,-3.8834331398,Double Support,229.33,42.7076809621
