"Time,Accel_x,Accel_y,Accel_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w,Gyro_x,Gyro_y,Gyro_z"
"0,0.00,0.01,1.02,0.0061,-0.0017,-0.0261,0.9996,-0.73,0.06,-1.28"
"50,0.00,0.01,1.02,0.0068,-0.0009,-0.0262,0.9996,-0.79,0.12,-1.22"
"100,0.00,0.01,1.02,0.0069,-0.0010,-0.0262,0.9996,-0.79,0.18,-1.22"
"150,0.00,0.01,1.02,0.0058,-0.0017,-0.0262,0.9996,-0.98,0.00,-1.04"
"200,0.00,0.01,1.02,0.0059,-0.0015,-0.0262,0.9996,-0.85,0.12,-1.16"
"250,0.00,0.01,1.03,0.0063,-0.0015,-0.0262,0.9996,-1.04,0.06,-1.22"
"300,0.00,0.02,1.02,0.0069,-0.0014,-0.0262,0.9996,-0.79,0.24,-1.10"
"350,0.01,0.01,1.03,0.0069,-0.0016,-0.0262,0.9996,-0.91,0.06,-1.22"
"400,0.01,0.01,1.02,0.0064,-0.0016,-0.0262,0.9996,-0.79,0.24,-1.28"
"450,-0.00,0.01,1.02,0.0054,-0.0005,-0.0262,0.9996,-0.91,0.12,-1.40"
"500,0.00,0.02,1.02,0.0066,-0.0012,-0.0262,0.9996,-0.79,0.12,-1.34"
"550,0.00,0.02,1.03,0.0065,-0.0013,-0.0262,0.9996,-0.91,0.37,-1.28"
"600,0.00,0.02,1.02,0.0066,-0.0013,-0.0262,0.9996,-0.91,0.12,-1.46"
"650,0.00,0.02,1.02,0.0071,-0.0016,-0.0262,0.9996,-0.98,0.18,-1.10"
"700,-0.02,-0.03,1.02,0.0073,-0.0022,-0.0262,0.9996,-0.85,0.06,-1.16"
"750,-0.00,-0.01,1.02,0.0064,-0.0021,-0.0262,0.9996,-0.79,0.12,-1.16"
"800,0.00,0.00,1.02,0.0056,-0.0015,-0.0262,0.9996,-0.91,0.06,-1.22"
"850,-0.00,0.01,1.02,0.0050,-0.0010,-0.0262,0.9996,-1.10,0.06,-1.28"
"900,0.00,0.01,1.02,0.0052,-0.0011,-0.0262,0.9996,-0.91,0.18,-1.22"
"950,0.01,0.02,1.03,0.0059,-0.0019,-0.0262,0.9996,-0.85,0.06,-1.16"
"1000,0.01,0.02,1.02,0.0069,-0.0014,-0.0262,0.9996,-0.98,0.00,-1.22"
"1050,0.00,0.02,1.02,0.0071,-0.0010,-0.0262,0.9996,-0.91,0.06,-1.22"
"1100,0.00,0.01,1.02,0.0063,-0.0019,-0.0262,0.9996,-0.73,0.30,-1.22"
"1150,0.00,0.01,1.03,0.0063,-0.0022,-0.0262,0.9996,-0.79,-0.12,-1.16"
"1200,-0.00,0.01,1.02,0.0054,-0.0013,-0.0262,0.9996,-0.91,0.18,-1.16"
"1250,0.00,0.01,1.02,0.0068,-0.0017,-0.0262,0.9996,-1.04,0.12,-1.22"
"1300,0.00,0.01,1.02,0.0054,-0.0007,-0.0262,0.9996,-0.85,0.12,-1.34"
"1350,0.00,0.02,1.03,0.0067,-0.0005,-0.0262,0.9996,-0.85,0.18,-1.28"
"1400,-0.01,-0.02,1.02,0.0088,-0.0023,-0.0262,0.9996,-0.67,0.12,-1.04"
"1450,0.00,0.01,1.02,0.0094,-0.0026,-0.0262,0.9996,-0.61,0.30,-1.22"
"1500,-0.01,-0.00,1.02,0.0085,-0.0022,-0.0262,0.9996,-0.79,0.30,-1.10"
"1550,-0.00,-0.04611,-0.0261,0.8748,-0.85,0.06,-1.22"
"9844,0.00,0.01,1.03,-0.0812,0.2628,-0.0274,0.9610,-0.79,0.06,-1.28"
"9894,0.00,0.01,1.02,-0.0800,0.2592,-0.0274,0.9621,-0.85,0.18,-1.28"
"9944,0.00,0.01,1.03,-0.0787,0.2552,-0.0275,0.9633,-0.79,0.00,-1.34"
"9994,0.00,0.01,1.02,-0.0773,0.2512,-0.0275,0.9645,-0.79,0.12,-1.16"
"10044,0.00,0.02,1.02,-0.0759,0.2471,-0.0275,0.9656,-0.49,0.24,-1.28"
"10094,0.01,0.01,1.02,-0.0746,0.2431,-0.0275,0.9667,-0.85,0.06,-1.16"
"10144,0.00,0.01,1.02,-0.0733,0.2390,-0.0275,0.9679,-0.79,0.12,-1.34"
"10194,0.00,0.01,1.02,-0.0719,0.2349,-0.0275,0.9690,-0.79,0.18,-1.16"
"10244,0.00,0.01,1.02,-0.0705,0.2308,-0.0275,0.9700,-0.85,0.12,-1.28"
"10294,0.00,0.01,1.02,-0.0692,0.2267,-0.0275,0.9711,-0.85,-0.06,-1.34"
"10344,0.00,0.01,1.03,-0.0678,0.2225,-0.0275,0.9722,-0.85,-0.18,-1.28"
"10394,0.00,0.02,1.02,-0.0664,0.2183,-0.0275,0.9732,-0.73,0.12,-1.04"
"10444,0.00,0.01,1.04,-0.0651,0.2142,-0.0275,0.9742,-1.10,0.06,-1.16"
"10494,-0.00,0.01,1.02,-0.0637,0.2099,-0.0275,0.9752,-0.98,-0.06,-1.16"
"10544,-0.00,0.01,1.02,-0.0623,0.2057,-0.0275,0.9762,-0.98,0.00,-1.10"
"10594,0.00,0.01,1.02,-0.0609,0.2015,-0.0275,0.9772,-1.04,0.00,-1.16"
"10644,0.00,0.01,1.02,-0.0594,0.1972,-0.0275,0.9782,-0.91,0.00,-1.22"
"10694,0.00,0.01,1.02,-0.0580,0.1929,-0.0275,0.9791,-0.73,0.00,-1.10"
"10744,0.00,0.01,1.02,-0.0566,0.1886,-0.0275,0.9800,-1.10,0.24,-1.22"
"10794,-0.00,0.01,1.02,-0.0552,0.1843,-0.0275,0.9809,-0.85,-0.06,-1.22"
"10844,-0.00,0.01,1.03,-0.0537,0.1799,-0.0275,0.9818,-0.85,-0.12,-1.04"
"10894,0.00,0.01,1.02,-0.0523,0.1755,-0.0275,0.9827,-0.85,0.18,-1.28"
"10944,0.01,0.02,1.02,-0.0508,0.1712,-0.0275,0.9835,-0.85,0.24,-1.22"
"10994,0.00,0.01,1.02,-0.0494,0.1668,-0.0275,0.9844,-0.91,0.24,-1.22"
"11044,0.00,0.01,1.02,-0.0479,0.1624,-0.0275,0.9852,-0.85,0.00,-1.16"
"11094,0.00,0.01,1.02,-0.0464,0.1579,-0.0275,0.9860,-0.85,0.06,-1.04"
"11144,0.00,0.01,1.02,-0.0450,0.1535,-0.0275,0.9867,-0.73,0.00,-1.22"
"11194,0.00,0.01,1.02,-0.0435,0.1490,-0.0275,0.9875,-0.98,0.06,-1.28"
"11244,0.00,0.01,1.02,-0.0420,0.1445,-0.0275,0.9882,-1.10,0.06,-1.28"
"11294,0.00,0.01,1.02,-0.0405,0.1400,-0.0275,0.9889,-0.79,0.12,-1.22"
"11344,0.00,0.01,1.02,-0.0391,0.1355,-0.0275,0.9896,-1.04,0.06,-1.34"
"11394,0.00,0.01,1.02,-0.0376,0.1310,-0.0275,0.9903,-0.91,0.12,-1.16"
"11444,0.00,0.01,1.03,-0.0361,0.1264,-0.0275,0.9909,-1.10,0.24,-1.16"
"11494,0.00,0.01,1.02,-0.0346,0.1219,-0.0275,0.9916,-0.79,0.06,-1.28"
