Time,Joint States
1730090045.9145753,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.49547579392089847, -0.053689327514648444, -0.003067961572265625, 0.9239075599902297, -0.09357282795410157, 0.804198607034685, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.4849747324865657, 0.04450717481680508, 0.001534730166096727, -0.9464661450439453, 0.08901434963361016, -0.8237476821533204)"
1730090045.9225757,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.4970097747070313, -0.053689327514648444, -0.003067961572265625, 0.9239075599902297, -0.09357282795410157, 0.8026638768685882, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.4849747324865657, 0.04450717481680508, 0.003069460332193454, -0.9464661450439453, 0.08901434963361016, -0.8237476821533204)"
1730090045.9305763,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.4970097747070313, -0.053689327514648444, -0.003067961572265625, 0.9223728298241329, -0.09357282795410157, 0.8026638768685882, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.483440002320469, 0.04450717481680508, 0.003069460332193454, -0.9449321642578126, 0.08901434963361016, -0.8237476821533204)"
1730090045.9385765,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.4970097747070313, -0.053689327514648444, -0.003067961572265625, 0.9223728298241329, -0.09357282795410157, 0.804198607034685, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.4849747324865657, 0.04450717481680508, 0.003069460332193454, -0.9464661450439453, 0.08901434963361016, -0.8237476821533204)"
1730090045.946576,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.4970097747070313, -0.053689327514648444, -0.003067961572265625, 0.9239075599902297, -0.09357282795410157, 0.804198607034685, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.483440002320469, 0.04297244465070836, 0.003069460332193454, -0.9464661450439453, 0.08901434963361016, -0.8237476821533204)"
1730090045.954576,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.4970097747070313, -0.053689327514648444, -0.003067961572265625, 0.9239075599902297, -0.09357282795410157, 0.804198607034685, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.4849747324865657, 0.04450717481680508, 0.003069460332193454, -0.9464661450439453, 0.08901434963361016, -0.8237476821533204)"
1730090045.9625752,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.4970097747070313, -0.053689327514648444, -0.003067961572265625, 0.9239075599902297, -0.09357282795410157, 0.804198607034685, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.4849747324865657, 0.04297244465070836, 0.003069460332193454, -0.9464661450439453, 0.08901434963361016, -0.8222137013671875)"
1730090045.9705775,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.4970097747070313, -0.053689327514648444, -0.003067961572265625, 0.9239075599902297, -0.09357282795410157, 0.804198607034685, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.4849747324865657, 0.04450717481680508, 0.003069460332193454, -0.9464661450439453, 0.08901434963361016, -0.8237476821533204)"
1730090045.9785783,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.49547579392089847, -0.05215534672851563, -0.003067961572265625, 0.9239075599902297, -0.09357282795410157, 0.8026638768685882, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.4849747324865657, 0.04297244465070836, 0.003069460332193454, -0.9464661450439453, 0.08901434963361016, -0.8237476821533204)"
1730090045.9865763,"(0.001534730166096727, -0.5338253135742188, 0.5647807011235956, -0.032213596508789064, -0.7884661240722657, -0.4970097747070313, -0.053689327514648444, -0.003067961572265625, 0.9239075599902297, -0.09357282795410157, 0.804198607034685, -0.5721748332275391, 0.03836825415241817, 0.770434543380557, 0.4849747324865657, 0.04450717481680508, 0.003069460332193454, -0.9464661450439453, 0.08901434963361016, -0.8237476821533204)"
