Time,Joint States
1729842497.0206478,"(-0.0015339807861328126, -0.17794177119140625, 1.2323883233756718, 0.006138920664386908, -0.7884661240722657, -1.2256506481201173, -0.003067961572265625, 0.003069460332193454, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.006138920664386908, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.028648,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.003069460332193454, 2.4785892182462144, -0.2592427528564453, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.004604190498290181, -2.5080585853271486, 0.25936939807034687, -0.7900001048583984)"
1729842497.0366485,"(-0.0015339807861328126, -0.17794177119140625, 1.2323883233756718, 0.006138920664386908, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.001534730166096727, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.0446463,"(-0.0015339807861328126, -0.17794177119140625, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.003067961572265625, 0.001534730166096727, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.006138920664386908, -2.5095925661132816, 0.25783466790425014, -0.7900001048583984)"
1729842497.0526457,"(-0.0015339807861328126, -0.17794177119140625, 1.2323883233756718, 0.006138920664386908, -0.7884661240722657, -1.228718609692383, -0.004601942358398438, 0.003069460332193454, 2.4785892182462144, -0.26077673364257814, 0.7903860355398143, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.060646,"(-0.0015339807861328126, -0.17640779040527346, 1.2308535932095752, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.003067961572265625, 0.001534730166096727, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.006138920664386908, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.0686479,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.003067961572265625, 0.001534730166096727, 2.4785892182462144, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25783466790425014, -0.7900001048583984)"
1729842497.076647,"(-0.0015339807861328126, -0.17640779040527346, 1.2308535932095752, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.003067961572265625, 0.001534730166096727, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.006138920664386908, -2.5095925661132816, 0.25936939807034687, -0.7915340856445313)"
1729842497.0846474,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.003069460332193454, 2.4785892182462144, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.006138920664386908, -2.5080585853271486, 0.25783466790425014, -0.7915340856445313)"
1729842497.0926483,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.228718609692383, -0.004601942358398438, 0.001534730166096727, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25783466790425014, -0.7900001048583984)"
1729842497.1006553,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.006138920664386908, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.003069460332193454, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25783466790425014, -0.7915340856445313)"
1729842497.1086485,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.003067961572265625, 0.001534730166096727, 2.4785892182462144, -0.2592427528564453, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25783466790425014, -0.7900001048583984)"
1729842497.116647,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.001534730166096727, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25783466790425014, -0.7900001048583984)"
1729842497.124647,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.001534730166096727, 2.4785892182462144, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.132645,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.228718609692383, -0.003067961572265625, 0.001534730166096727, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.1406446,"(-0.0015339807861328126, -0.17640779040527346, 1.2308535932095752, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.003069460332193454, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.1486454,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.006138920664386908, -0.7884661240722657, -1.228718609692383, -0.003067961572265625, 0.001534730166096727, 2.4785892182462144, -0.26077673364257814, 0.7888513053737177, -1.2210487057617188, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.1566455,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.003067961572265625, 0.001534730166096727, 2.4785892182462144, -0.26077673364257814, 0.7903860355398143, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25783466790425014, -0.7915340856445313)"
1729842497.1646445,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.003069460332193454, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2231799423790914, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.1726465,"(0.0, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.003069460332193454, 2.4785892182462144, -0.2592427528564453, 0.7888513053737177, -1.2210487057617188, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.006138920664386908, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
1729842497.1806493,"(-0.0015339807861328126, -0.17794177119140625, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.003067961572265625, 0.001534730166096727, 2.4785892182462144, -0.2592427528564453, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7915340856445313)"
1729842497.1886485,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.003069460332193454, 2.4770544880801175, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.006138920664386908, -2.5095925661132816, 0.25783466790425014, -0.7900001048583984)"
1729842497.196648,"(-0.0015339807861328126, -0.17640779040527346, 1.2323883233756718, 0.007673650830483635, -0.7884661240722657, -1.2256506481201173, -0.004601942358398438, 0.001534730166096727, 2.4785892182462144, -0.26077673364257814, 0.7888513053737177, -1.219514724975586, -0.004601942358398438, 0.7857818450415243, 1.2247146725451883, -0.003067961572265625, 0.004604190498290181, -2.5095925661132816, 0.25936939807034687, -0.7900001048583984)"
