Time,Joint States
1730089728.8060644,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4893398707763672, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9572040105468751, 0.08594488930141672, -0.8237476821533204)"
1730089728.8140612,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.8221052,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.03374757729492188, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.047576635148998535, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.8300989,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.8380668,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.03374757729492188, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8222137013671875)"
1730089728.8461206,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.8540993,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.03374757729492188, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.862111,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.9315812108207133, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8222137013671875)"
1730089728.8700671,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8222137013671875)"
1730089728.8781195,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8222137013671875)"
1730089728.886068,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9572040105468751, 0.08594488930141672, -0.8237476821533204)"
1730089728.8940718,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.9020662,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.910109,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8222137013671875)"
1730089728.91807,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.03374757729492188, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.9260654,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.047576635148998535, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.9340641,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9572040105468751, 0.08594488930141672, -0.8222137013671875)"
1730089728.9420798,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.047576635148998535, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.9500625,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4893398707763672, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5445631790771485, 0.03836825415241817, 0.7719692735466537, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.9580638,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.03374757729492188, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.9660652,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.03374757729492188, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.047576635148998535, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8222137013671875)"
1730089728.9740758,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.03374757729492188, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.9821327,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.99012,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089728.9980698,"(0.001534730166096727, -0.5353592943603516, 0.5478986692965315, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089729.006102,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09357282795410157, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8222137013671875)"
1730089729.014129,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47576635148998536, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089729.0221138,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.047576635148998535, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089729.0301218,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.8026638768685882, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
1730089729.0380766,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.053689327514648444, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.04604190498290181, 0.001534730166096727, -0.9572040105468751, 0.08594488930141672, -0.8237476821533204)"
1730089729.046119,"(0.001534730166096727, -0.5353592943603516, 0.5494333994626284, -0.032213596508789064, -0.7884661240722657, -0.4878058899902344, -0.05215534672851563, -0.0015339807861328126, 0.93311594098681, -0.09203884716796876, 0.804198607034685, -0.5430291982910157, 0.03836825415241817, 0.770434543380557, 0.47423162132388863, 0.047576635148998535, 0.001534730166096727, -0.9556700297607422, 0.08594488930141672, -0.8237476821533204)"
