seq,secs,nsecs,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
120577,1729051189,248872490,0.01114856448716083,0.011028708238082642,-0.00012296938735583253,0.9998770234298839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00689576982428051,-5e-324,6.2246335543581755e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2179457624776919,0.22026067202651667,9.87596517440356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120578,1729051189,256893706,0.011001706117371697,0.010698702571565633,-0.00011771784442433524,0.9998822362500003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007117292324802528,-5e-324,3.734780132614905e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21145205343388077,0.2173899823174725,9.877448364896043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120579,1729051189,264815528,0.010735681656324991,0.01061339684644879,-0.00011395503643806496,0.9998860374867745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006824515763653706,-5e-324,2.240868079568943e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2094711893357191,0.21183684583579598,9.86373364906458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120580,1729051189,272855430,0.010605202054563525,0.010615823987572142,-0.00011259563614751611,0.9998874043074397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006223159765502381,-5e-324,1.3445208477413657e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20971919187291582,0.20946264461085257,9.873221911850857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120581,1729051189,280795587,0.011141135850091794,0.010577844895718455,-0.00011786311739763262,0.9998819782342402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006288036228073618,-5e-324,8.067125086448194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2093891530632026,0.22048797250869903,9.89280123915153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120582,1729051189,288779089,0.010850723403242899,0.011564951316168538,-0.00012550387113650127,0.9998742410680751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0067526521670783915,-5e-324,4.840275051868917e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2285841632246403,0.2144139004485788,9.877733776938182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120583,1729051189,296856014,0.010623229983723701,0.011717542952228745,-0.0001244937268556537,0.9998749075125286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007031421730481257,-5e-324,2.90416503112135e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23148204334494044,0.20981177654844416,9.87276344243244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120584,1729051189,304853166,0.010226162787722438,0.011086825012237728,-0.00011338857633908445,0.9998862410538599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006772993407060944,-5e-324,1.7424990186728098e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21933440178821423,0.20226209888805086,9.887258913848134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120585,1729051189,312799905,0.010527021786298364,0.011090622193909128,-0.0001167648740396102,0.999883076303238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007043626474470788,-5e-324,1.0454994112036859e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21946784200066294,0.2082667795965024,9.889731272381146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120586,1729051189,320912397,0.009762713858936473,0.011226859334425887,-0.00010961674854207006,0.9998893113898968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007206006314916694,-5e-324,6.272996467222114e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2219421077882884,0.19295539490633892,9.880201359864236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120587,1729051189,328846453,0.010094840159894456,0.011093215479045892,-0.0001119968362281811,0.9998875047870087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006877744157722206,-5e-324,3.7637978803332687e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21935652443859802,0.1995702950492721,9.88262369799862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120588,1729051189,336800853,0.010864764012133338,0.011208243929872368,-0.00012178976521968582,0.9998781512455517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006680786863405513,-5e-324,2.258278728199961e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2216358970850338,0.2147919829377664,9.882401159717139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120589,1729051189,344923953,0.011225718442136325,0.010643308923055988,-0.00011949308812709402,0.9998803373114346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061369224253534655,-5e-324,1.3549672369199766e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21031425187406716,0.22177021417672238,9.8753244519338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120590,1729051189,352844636,0.011639896729264347,0.009761375812408808,-0.00011363451969528734,0.9998846010583305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005810603762522237,-5e-324,8.129803421519859e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19274735727678405,0.2297878755763459,9.868205385271606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120591,1729051189,360895746,0.011006653920338538,0.010326762954950532,-0.00011367605448135466,0.9998860928196296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006466192687747564,-5e-324,4.877882052911915e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20375503545982043,0.21712080029697942,9.860821483116087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120592,1729051189,368858031,0.010730908884408485,0.010952704566686238,-0.0001175462947656144,0.9998824291085717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006859546042882759,-5e-324,0.0017027631725773582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2163451465200329,0.2119147567895158,9.871714032447777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120593,1729051189,376810020,0.010340923947618937,0.010279326005930355,-0.00010630903027170917,0.999893689072575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006669867994501845,-5e-324,0.002724418149394541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20283023854678536,0.2040027273647251,9.861729570591713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120594,1729051189,384854854,0.01087336597499108,0.010532022435160621,-0.00011453165856748432,0.9998854100837248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556061165473297,-5e-324,0.0016346508896367246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2078894028936962,0.21457840033485068,9.864836859786667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
