Time,Joint States
1729841064.09727,"(-0.01687378864746094, -0.3896311196777344, 0.6507255904250123, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6442719301757813, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.09208380996580362, -0.8007379703613282)"
1729841064.1052809,"(-0.018407769433593752, -0.3973010236083985, 0.6507255904250123, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6442719301757813, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.09208380996580362, -0.7992039895751953)"
1729841064.1132631,"(-0.019941750219726564, -0.40343694675292974, 0.6522603205911089, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04601942358398438, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.04297244465070836, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.09054907979970689, -0.8007379703613282)"
1729841064.1212626,"(-0.021475731005859377, -0.41110685068359376, 0.6522603205911089, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04755340437011719, 0.003069460332193454, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.04297244465070836, 0.7857818450415243, 0.5478986692965315, 0.03683352398632145, 0.001534730166096727, -1.1121360699462892, 0.09054907979970689, -0.8007379703613282)"
1729841064.1292715,"(-0.02300971179199219, -0.41877675461425784, 0.6522603205911089, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04755340437011719, 0.003069460332193454, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.04450717481680508, 0.7873165752076209, 0.5494333994626284, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.08901434963361016, -0.8007379703613282)"
1729841064.1372628,"(-0.024543692578125, -0.4264466585449219, 0.6522603205911089, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04755340437011719, 0.003069460332193454, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6442719301757813, 0.04450717481680508, 0.7857818450415243, 0.5478986692965315, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.08901434963361016, -0.8007379703613282)"
1729841064.1452613,"(-0.026077673364257814, -0.43411656247558594, 0.6507255904250123, -0.026077673364257814, -0.7915340856445313, -0.5522330830078125, -0.04755340437011719, 0.003069460332193454, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6458059109619141, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.08747961946751344, -0.7992039895751953)"
1729841064.153263,"(-0.027611654150390626, -0.4387185048339844, 0.6522603205911089, -0.027611654150390626, -0.7915340856445313, -0.5522330830078125, -0.04755340437011719, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.0, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729841064.1612632,"(-0.02914563493652344, -0.4479223895507813, 0.6507255904250123, -0.027611654150390626, -0.7915340856445313, -0.5506991022216797, -0.04755340437011719, 0.003069460332193454, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6458059109619141, 0.04450717481680508, 0.7857818450415243, 0.5478986692965315, 0.03683352398632145, 0.0, -1.1106020891601562, 0.08594488930141672, -0.7992039895751953)"
1729841064.1692798,"(-0.02914563493652344, -0.45252433190917973, 0.6522603205911089, -0.02914563493652344, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6442719301757813, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.08594488930141672, -0.8007379703613282)"
1729841064.177405,"(-0.03067961572265625, -0.4571262742675782, 0.6522603205911089, -0.02914563493652344, -0.7915340856445313, -0.5522330830078125, -0.04908738515625, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.04450717481680508, 0.7857818450415243, 0.5478986692965315, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.1854205,"(-0.032213596508789064, -0.46019423583984376, 0.6522603205911089, -0.02914563493652344, -0.7915340856445313, -0.5522330830078125, -0.04908738515625, 0.003069460332193454, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.08441015913531999, -0.7992039895751953)"
1729841064.1932623,"(-0.03374757729492188, -0.4647961781982422, 0.6522603205911089, -0.02914563493652344, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.2012625,"(-0.03528155808105469, -0.46939812055664065, 0.6522603205911089, -0.03067961572265625, -0.7915340856445313, -0.5522330830078125, -0.04908738515625, 0.003069460332193454, 1.080450036932096, -0.09050486638183594, 0.7934554958720078, -0.6427379493896485, 0.04450717481680508, 0.7857818450415243, 0.5494333994626284, 0.03683352398632145, 0.0, -1.1106020891601562, 0.08441015913531999, -0.7992039895751953)"
1729841064.2092633,"(-0.03528155808105469, -0.4740000629150391, 0.6522603205911089, -0.03067961572265625, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6442719301757813, 0.04450717481680508, 0.7857818450415243, 0.5478986692965315, 0.03683352398632145, 0.001534730166096727, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.2172632,"(-0.036815538867187504, -0.47860200527343755, 0.6507255904250123, -0.03067961572265625, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6442719301757813, 0.04604190498290181, 0.7857818450415243, 0.5478986692965315, 0.03836825415241817, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.2252636,"(-0.03834951965332031, -0.483203947631836, 0.6522603205911089, -0.032213596508789064, -0.7915340856445313, -0.5522330830078125, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6442719301757813, 0.04604190498290181, 0.7857818450415243, 0.5478986692965315, 0.03836825415241817, 0.001534730166096727, -1.1121360699462892, 0.08441015913531999, -0.7992039895751953)"
1729841064.233269,"(-0.03988350043945313, -0.4878058899902344, 0.6522603205911089, -0.032213596508789064, -0.7915340856445313, -0.5522330830078125, -0.04908738515625, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6442719301757813, 0.04604190498290181, 0.7857818450415243, 0.5478986692965315, 0.03836825415241817, 0.0, -1.1106020891601562, 0.08441015913531999, -0.7992039895751953)"
1729841064.2413793,"(-0.03988350043945313, -0.49240783234863283, 0.6522603205911089, -0.032213596508789064, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.080450036932096, -0.09050486638183594, 0.7934554958720078, -0.6442719301757813, 0.04604190498290181, 0.7857818450415243, 0.5478986692965315, 0.039902984318514904, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.249263,"(-0.04141748122558594, -0.4970097747070313, 0.6522603205911089, -0.032213596508789064, -0.7915340856445313, -0.5522330830078125, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6427379493896485, 0.04604190498290181, 0.7857818450415243, 0.5478986692965315, 0.039902984318514904, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.25727,"(-0.04141748122558594, -0.5000777362792969, 0.6522603205911089, -0.03374757729492188, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6427379493896485, 0.04604190498290181, 0.7857818450415243, 0.5478986692965315, 0.039902984318514904, 0.0, -1.1106020891601562, 0.08441015913531999, -0.7992039895751953)"
1729841064.2652626,"(-0.042951462011718754, -0.5031456978515625, 0.6522603205911089, -0.03374757729492188, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6427379493896485, 0.04604190498290181, 0.7857818450415243, 0.5478986692965315, 0.039902984318514904, 0.0, -1.1106020891601562, 0.08441015913531999, -0.7992039895751953)"
1729841064.2732644,"(-0.04448544279785156, -0.5062136594238281, 0.6507255904250123, -0.03374757729492188, -0.7915340856445313, -0.5522330830078125, -0.04908738515625, 0.003069460332193454, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6427379493896485, 0.047576635148998535, 0.7857818450415243, 0.5478986692965315, 0.039902984318514904, 0.001534730166096727, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.2812645,"(-0.04448544279785156, -0.5092816209960938, 0.6522603205911089, -0.03374757729492188, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.047576635148998535, 0.7857818450415243, 0.5478986692965315, 0.039902984318514904, 0.001534730166096727, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.2892847,"(-0.04601942358398438, -0.5108156017822266, 0.6522603205911089, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6427379493896485, 0.047576635148998535, 0.7857818450415243, 0.5478986692965315, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.2972636,"(-0.04601942358398438, -0.5123495825683594, 0.6522603205911089, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.04908738515625, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6427379493896485, 0.047576635148998535, 0.7857818450415243, 0.5478986692965315, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08441015913531999, -0.7992039895751953)"
1729841064.3053288,"(-0.04601942358398438, -0.5123495825683594, 0.6522603205911089, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.09050486638183594, 0.7919207657059112, -0.6427379493896485, 0.047576635148998535, 0.7857818450415243, 0.5478986692965315, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.3132663,"(-0.04601942358398438, -0.5138835633544923, 0.6522603205911089, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6427379493896485, 0.050646095481192, 0.7857818450415243, 0.5463639391304349, 0.04143771448461163, 0.001534730166096727, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.3213592,"(-0.04601942358398438, -0.5138835633544923, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.003069460332193454, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6427379493896485, 0.050646095481192, 0.7857818450415243, 0.5478986692965315, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.3292646,"(-0.04601942358398438, -0.5138835633544923, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6427379493896485, 0.050646095481192, 0.7857818450415243, 0.5478986692965315, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08287542896922326, -0.8007379703613282)"
1729841064.3374257,"(-0.04601942358398438, -0.5138835633544923, 0.6522603205911089, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6412039686035157, 0.050646095481192, 0.7857818450415243, 0.5478986692965315, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.3452618,"(-0.04601942358398438, -0.5138835633544923, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05062136594238282, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7919207657059112, -0.6427379493896485, 0.050646095481192, 0.7857818450415243, 0.5463639391304349, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
1729841064.3533638,"(-0.04601942358398438, -0.5123495825683594, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05215534672851563, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6412039686035157, 0.050646095481192, 0.7857818450415243, 0.5478986692965315, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08441015913531999, -0.7992039895751953)"
1729841064.3612618,"(-0.04448544279785156, -0.5123495825683594, 0.6507255904250123, -0.03528155808105469, -0.7915340856445313, -0.5506991022216797, -0.05215534672851563, 0.001534730166096727, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6412039686035157, 0.052180825647288716, 0.7857818450415243, 0.5478986692965315, 0.04143771448461163, 0.0, -1.1106020891601562, 0.08441015913531999, -0.8007379703613282)"
