Time,Joint States
1729842733.6711202,"(-0.3574175231689453, -0.6703496035400391, 0.6537950507572058, -0.03834951965332031, -0.7915340856445313, -0.549165121435547, -0.05675728908691407, 0.0, 1.0850542274303858, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.056785016145578904, 0.7857818450415243, 0.5463639391304349, 0.04297244465070836, 0.003069460332193454, -1.1274758778076173, 0.08441015913531999, -0.8007379703613282)"
1729842733.6791208,"(-0.3558835423828125, -0.6703496035400391, 0.6522603205911089, -0.03834951965332031, -0.7915340856445313, -0.5476311406494141, -0.05829126987304688, 0.001534730166096727, 1.0850542274303858, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.056785016145578904, 0.7857818450415243, 0.5478986692965315, 0.04297244465070836, 0.001534730166096727, -1.1259418970214845, 0.08441015913531999, -0.7992039895751953)"
1729842733.6871188,"(-0.3543495615966797, -0.6703496035400391, 0.6537950507572058, -0.03834951965332031, -0.7915340856445313, -0.549165121435547, -0.05675728908691407, 0.0, 1.0850542274303858, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.056785016145578904, 0.7857818450415243, 0.5478986692965315, 0.04297244465070836, 0.003069460332193454, -1.1259418970214845, 0.08441015913531999, -0.8007379703613282)"
1729842733.695121,"(-0.3528155808105469, -0.6703496035400391, 0.6537950507572058, -0.03834951965332031, -0.7900001048583984, -0.549165121435547, -0.05829126987304688, 0.0, 1.0850542274303858, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.056785016145578904, 0.7857818450415243, 0.5463639391304349, 0.04297244465070836, 0.003069460332193454, -1.1274758778076173, 0.08287542896922326, -0.8007379703613282)"
1729842733.7031195,"(-0.3497476192382813, -0.6703496035400391, 0.6522603205911089, -0.03834951965332031, -0.7915340856445313, -0.549165121435547, -0.05829126987304688, 0.0, 1.0850542274303858, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.056785016145578904, 0.7857818450415243, 0.5478986692965315, 0.04297244465070836, 0.001534730166096727, -1.1259418970214845, 0.08441015913531999, -0.8007379703613282)"
1729842733.7111197,"(-0.34667965766601566, -0.6672816419677735, 0.6522603205911089, -0.03988350043945313, -0.7915340856445313, -0.549165121435547, -0.05829126987304688, 0.0, 1.0865889575964829, -0.09050486638183594, 0.7934554958720078, -0.6442719301757813, 0.056785016145578904, 0.7857818450415243, 0.5463639391304349, 0.04297244465070836, 0.003069460332193454, -1.1259418970214845, 0.08441015913531999, -0.8007379703613282)"
1729842733.719121,"(-0.3420777153076172, -0.6642136803955079, 0.6537950507572058, -0.03834951965332031, -0.7900001048583984, -0.5476311406494141, -0.05829126987304688, 0.0, 1.0850542274303858, -0.08897088559570313, 0.7934554958720078, -0.6442719301757813, 0.056785016145578904, 0.7857818450415243, 0.5478986692965315, 0.04297244465070836, 0.003069460332193454, -1.1274758778076173, 0.08441015913531999, -0.7992039895751953)"
1729842733.7271183,"(-0.33747577294921877, -0.6596117380371094, 0.6507255904250123, -0.036815538867187504, -0.7915340856445313, -0.5460971598632813, -0.05215534672851563, -0.0015339807861328126, 1.080450036932096, -0.08897088559570313, 0.7934554958720078, -0.6458059109619141, 0.056785016145578904, 0.7857818450415243, 0.5540375899609185, 0.050646095481192, 0.001534730166096727, -1.1351457817382813, 0.08441015913531999, -0.8007379703613282)"
1729842733.7351282,"(-0.3313398498046875, -0.655009795678711, 0.6445866697606254, -0.032213596508789064, -0.7915340856445313, -0.5414952175048828, -0.03988350043945313, -0.0015339807861328126, 1.0697069257694187, -0.08897088559570313, 0.7934554958720078, -0.6519418341064454, 0.06445866697606253, 0.7857818450415243, 0.5693848916218858, 0.06599339714215927, 0.0, -1.1489516088134766, 0.08441015913531999, -0.7992039895751953)"
1729842733.743121,"(-0.3252039266601563, -0.6488738725341797, 0.6369130189301416, -0.019941750219726564, -0.7930680664306641, -0.5368932751464844, -0.027611654150390626, 0.006138920664386908, 1.0558943542745483, -0.08897088559570313, 0.7934554958720078, -0.6657476611816406, 0.07520177813873963, 0.7857818450415243, 0.5878016536150464, 0.08594488930141672, 0.003069460332193454, -1.1673593782470704, 0.08594488930141672, -0.7992039895751953)"
