Total Memory (GB),Used Memory (GB),Available Memory (GB),Memory Usage Percentage (%),CPU Usage Percentage (%)
7,5,4,36.6,50.6
7,5,4,36.6,48.8
7,5,4,36.6,53.2
7,5,4,36.6,56.4
7,5,4,36.6,54.4
7,5,4,36.6,52.6
7,5,4,36.6,55.1
7,5,4,36.6,54.5
7,5,4,36.6,53.8
7,5,4,36.6,53.2
7,5,4,36.6,51.3
7,5,4,36.6,51.3
7,5,4,36.6,53.2
7,5,4,36.6,50.0
7,5,4,36.5,53.1
7,5,4,36.5,52.5
7,5,4,36.5,51.3
7,5,4,36.5,51.9
7,5,4,36.5,51.9
7,5,4,36.5,53.2
7,5,4,36.5,53.8
7,5,4,36.5,53.9
7,5,4,36.5,54.5
7,5,4,36.5,53.2
7,5,4,36.5,51.9
7,5,4,36.5,53.8
7,5,4,36.5,53.2
7,5,4,36.5,52.6
7,5,4,36.5,52.5
7,5,4,36.5,54.3
7,5,4,36.5,53.2
7,5,4,36.5,54.5
7,5,4,36.5,60.3
7,5,4,36.5,54.5
7,5,4,36.5,52.5
7,5,4,36.5,53.8
7,5,4,36.5,51.3
7,5,4,36.5,50.0
7,5,4,36.5,50.0
7,5,4,36.5,50.6
7,5,4,36.5,53.2
7,5,4,36.5,50.6
7,5,4,36.5,51.9
7,5,4,36.5,50.0
7,5,4,36.5,51.3
7,5,4,36.5,50.6
7,5,4,36.5,51.3
7,5,4,36.5,53.8
7,5,4,36.5,53.2
7,5,4,36.5,51.9
