Total Memory (GB),Used Memory (GB),Available Memory (GB),Memory Usage Percentage (%),CPU Usage Percentage (%)
7,3,5,29.4,50.0
7,3,5,29.4,50.0
7,3,5,29.4,49.4
7,3,5,29.4,47.5
7,3,5,29.4,49.4
7,3,5,29.4,48.7
7,3,5,29.4,44.2
7,3,5,29.4,52.6
7,3,5,29.4,51.3
7,3,5,29.4,48.1
7,3,5,29.4,49.4
7,3,5,29.4,50.0
7,3,5,29.4,50.6
7,3,5,29.4,47.3
7,3,5,29.4,50.0
7,3,5,29.4,48.7
7,3,5,29.4,49.4
7,3,5,29.4,49.4
7,3,5,29.4,49.4
7,3,5,29.4,50.0
7,3,5,29.4,50.0
7,3,5,29.4,51.3
7,3,5,29.4,50.0
7,3,5,29.4,48.7
7,3,5,29.4,49.4
7,3,5,29.4,48.7
7,3,5,29.4,48.7
7,3,5,29.4,49.4
7,3,5,29.4,51.3
7,3,5,29.4,50.0
7,3,5,29.4,47.4
7,3,5,29.4,48.7
7,3,5,29.4,57.1
7,3,5,29.4,53.9
7,3,5,29.4,54.5
7,3,5,29.4,49.4
7,3,5,29.4,51.3
7,3,5,29.4,50.6
7,3,5,29.4,48.1
7,3,5,29.4,49.3
7,3,5,29.4,48.0
7,3,5,29.4,50.0
7,3,5,29.4,50.6
7,3,5,29.4,50.6
7,3,5,29.4,49.4
7,3,5,29.4,48.0
7,3,5,29.4,48.7
7,3,5,29.4,49.3
7,3,5,29.4,49.4
7,3,5,29.4,50.0
