Total Memory (GB),Used Memory (GB),Available Memory (GB),Memory Usage Percentage (%),CPU Usage Percentage (%)
7,3,5,27.5,44.9
7,3,5,27.5,45.6
7,3,5,27.5,46.8
7,3,5,27.5,48.1
7,3,5,27.5,50.0
7,3,5,27.5,46.8
7,3,5,27.5,46.8
7,3,5,27.5,48.1
7,3,5,27.5,44.9
7,3,5,27.5,44.9
7,3,5,27.5,50.0
7,3,5,27.5,45.5
7,3,5,27.5,47.5
7,3,5,27.5,49.4
7,3,5,27.5,45.6
7,3,5,27.5,45.6
7,3,5,27.5,46.2
7,3,5,27.5,48.1
7,3,5,27.5,45.6
7,3,5,27.5,48.1
7,3,5,27.5,49.4
7,3,5,27.5,44.3
7,3,5,27.5,44.9
7,3,5,27.5,49.4
7,3,5,27.5,44.9
7,3,5,27.5,50.0
7,3,5,27.5,50.0
7,3,5,27.5,43.0
7,3,5,27.5,44.3
7,3,5,27.5,48.1
7,3,5,27.5,45.6
7,3,5,27.5,51.9
7,3,5,27.5,51.9
7,3,5,27.5,44.9
7,3,5,27.5,48.1
7,3,5,27.5,44.9
7,3,5,27.5,51.3
7,3,5,27.5,50.0
7,3,5,27.5,49.4
7,3,5,27.5,44.9
7,3,5,27.5,48.8
7,3,5,27.5,47.5
7,3,5,27.5,44.3
7,3,5,27.5,48.1
7,3,5,27.5,48.1
7,3,5,27.5,45.6
7,3,5,27.5,50.6
7,3,5,27.5,46.8
7,3,5,27.5,48.1
7,3,5,27.5,45.0
