CoM Computation Time,ZMP Calculation Time,Support Polygon Calculation Time
0.002616,0.000511,0.000113
0.002483,0.000536,0.000264
0.003111,0.000929,0.000129
0.002245,0.001232,0.000152
0.002511,0.000928,0.000135
0.003196,0.002115,0.00013
0.003026,0.002062,0.000183
0.002546,0.000767,0.0001
0.00283,0.000624,9.7e-05
0.002692,0.001309,0.000104
0.003804,0.001123,0.000146
0.003686,0.000876,0.000123
0.004908,0.002731,0.000152
0.002973,0.000858,0.000115
0.001983,0.000743,9.2e-05
0.002721,0.000862,0.000129
0.002443,0.000909,0.000181
0.002551,0.001951,0.000151
0.002762,0.001028,0.00014
0.002397,0.001035,0.000157
0.002487,0.000936,0.000147
0.002423,0.00099,0.000132
0.002792,0.001049,0.000135
0.002659,0.00111,0.000141
0.002473,0.00085,0.000142
0.002965,0.000927,0.000124
0.003052,0.000927,0.000118
0.002462,0.001073,0.000159
0.002457,0.000913,0.000139
0.002441,0.000921,0.00013
0.002429,0.000883,0.00012
0.002387,0.001017,0.000148
0.002425,0.00082,0.000156
0.002383,0.000971,0.000138
0.002501,0.000943,0.000175
0.002945,0.001053,0.000131
0.00249,0.001017,0.000154
0.002999,0.00102,0.000137
0.002421,0.000993,0.000136
0.002401,0.001171,0.000142
0.002446,0.000857,0.000124
0.002416,0.001573,0.000142
0.003479,0.000918,0.000132
0.002804,0.001389,0.000167
0.002833,0.001105,0.000191
0.002613,0.000986,0.00013
0.002445,0.00099,0.000171
0.002449,0.001076,0.000139
0.003238,0.000967,0.000229
0.004366,0.000981,0.000145
0.002536,0.000992,0.000141
0.003253,0.00102,0.000137
0.002565,0.000897,0.000145
0.002684,0.000915,0.000158
0.002523,0.000865,0.000122
0.002821,0.000933,0.00012
0.002417,0.000847,0.000603
0.002953,0.000989,0.00015
0.002547,0.000978,0.000144
0.00272,0.00139,0.000148
0.002802,0.001011,0.000133
0.005297,0.000856,0.000118
0.002645,0.000876,0.00012
0.002746,0.000952,0.000144
0.002943,0.001155,0.000196
0.003621,0.001235,0.000161
0.003335,0.001089,0.000161
0.002371,0.000959,0.000171
0.003725,0.001006,0.000154
0.0024,0.001016,0.000159
0.003077,0.000983,0.000125
0.002729,0.000992,0.000132
0.00353,0.001122,0.000151
0.00261,0.001077,0.00014
0.004479,0.001994,0.000192
0.002654,0.001813,0.000163
0.005037,0.001928,0.000151
0.002727,0.000962,0.000164
0.003806,0.000905,0.000153
0.003048,0.001036,0.000135
0.002546,0.000915,0.000155
0.002988,0.001031,0.00014
0.004064,0.001178,0.000198
0.00361,0.001075,0.000142
0.002899,0.001129,0.000386
0.003076,0.000964,0.000147
0.002775,0.000886,0.000153
0.002704,0.000886,0.000142
0.002755,0.001084,0.000147
0.002724,0.000963,0.000139
0.002934,0.001001,0.000134
0.00254,0.000994,0.000165
0.002499,0.001028,0.000143
0.002732,0.001026,0.000158
0.002556,0.002267,0.000209
0.00278,0.001123,0.000148
0.002542,0.00198,0.000191
0.002549,0.000949,0.000129
0.002455,0.001287,0.000149
0.003211,0.000928,0.000132
0.002578,0.001203,0.000248
0.002832,0.000973,0.000163
0.002477,0.001126,0.000163
0.002967,0.001,0.000141
0.002596,0.001076,0.00018
0.004238,0.001311,0.000188
0.002464,0.000908,0.000214
0.002439,0.001029,0.000136
0.002775,0.001084,0.000132
0.002443,0.00095,0.000136
0.00248,0.002187,0.000151
0.004055,0.001005,0.000128
0.002505,0.001193,0.000151
0.002454,0.00091,0.000135
0.00256,0.001049,0.000121
0.002429,0.001215,0.00014
0.003094,0.001033,0.000204
0.004422,0.001003,0.000135
0.002697,0.00131,0.000146
0.004568,0.001081,0.000141
0.002781,0.001155,0.000183
0.00503,0.00102,0.000152
0.003089,0.001696,0.000206
0.004724,0.000969,0.000132
0.00277,0.001065,0.000131
0.002524,0.00108,0.000153
0.002496,0.000962,0.000174
0.002447,0.00091,0.000148
0.002458,0.001038,0.000183
0.002474,0.000961,0.000137
0.00254,0.000916,0.000143
0.004296,0.000965,0.000129
0.002502,0.000799,0.000123
0.002697,0.001106,0.000149
0.002533,0.000932,0.000134
0.002766,0.000997,0.00014
0.002472,0.000923,0.00017
0.002493,0.000951,0.000145
0.00311,0.000963,0.000138
0.003271,0.000947,0.000133
0.002545,0.000874,0.000216
0.00249,0.000979,0.000136
0.002742,0.001021,0.000176
0.003382,0.001113,0.00014
0.002859,0.001547,0.000128
0.004337,0.000951,0.000128
0.002806,0.001049,0.00012
0.002777,0.000927,0.000136
0.002676,0.001207,0.000188
0.002413,0.000943,0.000129
0.002521,0.000937,0.000134
0.002541,0.001194,0.000176
0.002738,0.001085,0.000214
0.004004,0.001103,0.000136
0.003611,0.001145,0.000174
0.004835,0.001015,0.000141
0.002474,0.000871,0.000132
0.002841,0.000953,0.000127
0.002811,0.000916,0.000134
0.002688,0.001024,0.000168
0.002485,0.00084,0.000139
0.003516,0.000985,0.000142
0.002442,0.000949,0.00012
0.002627,0.000988,0.000136
0.002813,0.001052,0.000168
0.002731,0.00102,0.000137
0.00248,0.000883,0.000125
0.004013,0.001011,0.000124
0.003682,0.00265,0.000132
0.002386,0.000972,0.000154
0.002447,0.001071,0.000134
0.002415,0.001026,0.000138
0.002484,0.001338,0.000133
0.002467,0.001446,0.000193
0.002432,0.001091,0.00013
0.002988,0.000888,0.000132
0.003166,0.000951,0.000122
0.002489,0.001008,0.000131
0.002688,0.000978,0.00014
0.003155,0.00092,0.000137
0.002774,0.001208,0.000179
0.003365,0.000904,0.000135
0.002796,0.000929,0.000132
0.002406,0.001129,0.00013
0.002928,0.000993,0.000196
