CoM Computation Time,ZMP Calculation Time,Support Polygon Calculation Time
0.000586,0.000671,0.00015
0.000416,0.000509,0.000135
0.000647,0.000678,0.000135
0.00043,0.000883,0.000136
0.000419,0.000962,0.000132
0.000864,0.002668,0.00014
0.000386,0.000701,0.000331
0.00069,0.000588,0.000121
0.000454,0.000618,0.000117
0.000301,0.000524,9.6e-05
0.000493,0.000839,0.000137
0.000442,0.000934,0.000133
0.000439,0.00097,0.000201
0.000315,0.000697,0.000101
0.000494,0.00085,0.000112
0.000425,0.001064,0.001603
0.000417,0.001494,0.00015
0.000412,0.001004,0.000145
0.000747,0.00112,0.000149
0.000413,0.001322,0.000166
0.000417,0.000943,0.000144
0.000412,0.000995,0.000138
0.00045,0.001787,0.000153
0.000412,0.000904,0.000179
0.000562,0.001179,0.000178
0.000416,0.000947,0.000125
0.000687,0.000942,0.000165
0.00042,0.000961,0.000134
0.000415,0.000973,0.000135
0.000413,0.001114,0.000155
0.000489,0.001172,0.000138
0.000415,0.001011,0.00167
0.000459,0.001015,0.000138
0.000413,0.001257,0.000142
0.000645,0.00116,0.000192
0.00041,0.001084,0.00161
0.000666,0.001093,0.000138
0.000422,0.001029,0.000137
0.000669,0.001168,0.00014
0.000441,0.000943,0.000132
0.000429,0.00094,0.00016
0.000468,0.000965,0.000148
0.000436,0.000947,0.000133
0.000417,0.000879,0.000138
0.000722,0.001155,0.000156
0.000415,0.002065,0.000192
0.000673,0.001193,0.000142
0.000418,0.000973,0.00015
0.000446,0.001115,0.000169
0.000445,0.000926,0.000151
0.000443,0.001059,0.000137
0.000411,0.00088,0.00013
0.000482,0.000961,0.000134
0.000415,0.0011,0.000174
0.000667,0.000876,0.000147
0.00041,0.000914,0.000132
0.000418,0.001021,0.000133
0.000453,0.001033,0.000144
0.000423,0.000923,0.000137
0.000416,0.000996,0.000163
0.000415,0.001027,0.000142
0.000415,0.000908,0.000131
0.000418,0.000971,0.000159
0.00065,0.000916,0.000136
0.000452,0.001059,0.000143
0.000449,0.000981,0.000153
0.000449,0.000814,0.000147
0.000425,0.000833,0.000124
0.000457,0.001077,0.000144
0.000422,0.00108,0.000131
0.000419,0.000974,0.00015
0.000427,0.000918,0.000128
0.000782,0.001197,0.000145
0.000475,0.003465,0.000149
0.000455,0.000995,0.000158
0.000535,0.001575,0.000144
0.000416,0.000942,0.00016
0.000407,0.000928,0.000146
0.000443,0.001118,0.000161
0.000413,0.001059,0.001693
0.000442,0.000971,0.000135
0.000689,0.001161,0.000142
0.000496,0.001163,0.000148
0.000484,0.001385,0.000198
0.000737,0.00104,0.000159
0.000463,0.001091,0.000224
0.000706,0.000981,0.000144
0.000425,0.001035,0.000187
0.000672,0.001027,0.000138
0.00061,0.001034,0.000179
0.000673,0.00099,0.000138
0.000431,0.001043,0.000136
0.000442,0.000931,0.000147
0.000417,0.000894,0.000129
0.000413,0.000981,0.000137
0.000414,0.000915,0.000128
0.000458,0.001002,0.000162
0.000413,0.000979,0.000162
0.000415,0.001016,0.000139
0.000411,0.000859,0.000133
0.000447,0.000891,0.000135
0.000413,0.00101,0.000187
0.000416,0.001463,0.000135
0.000412,0.000968,0.000131
0.000416,0.001121,0.000137
0.000425,0.000834,0.000174
0.000431,0.001136,0.000149
0.000431,0.001,0.000135
0.000434,0.000982,0.000139
0.000448,0.000906,0.000198
0.00071,0.000919,0.00014
0.000455,0.001037,0.00015
0.000433,0.000917,0.000136
0.000412,0.00099,0.000134
0.000426,0.001095,0.000144
0.00043,0.00089,0.000148
0.000504,0.001044,0.000145
0.00046,0.000996,0.000152
0.00045,0.001062,0.000143
0.000441,0.00094,0.000199
0.001451,0.000848,0.000166
0.000446,0.001066,0.000144
0.000451,0.001821,0.00015
0.000443,0.001028,0.000179
0.000416,0.001056,0.000148
0.000432,0.000922,0.000134
0.000445,0.000928,0.000137
0.000426,0.000966,0.000151
0.000431,0.001002,0.000142
0.00047,0.001017,0.000133
0.000466,0.000946,0.000144
0.000465,0.001084,0.000139
0.000455,0.001387,0.000139
0.000421,0.000958,0.000147
0.000741,0.000967,0.000134
0.000461,0.001113,0.000184
