CoM Computation Time,ZMP Calculation Time,Support Polygon Calculation Time
0.000354,0.000547,0.00015
0.000782,0.001535,0.000131
0.000389,0.001027,0.000163
0.000384,0.00146,0.000183
0.000391,0.000936,0.000136
0.000431,0.000964,0.000154
0.000367,0.000963,0.00014
0.000665,0.001359,0.000187
0.000559,0.000504,9.6e-05
0.000296,0.000857,0.000126
0.000521,0.000678,0.000129
0.000724,0.00099,0.00014
0.000669,0.001109,0.000142
0.000654,0.000879,0.000127
0.000288,0.000622,0.00011
0.000352,0.001317,0.000149
0.000399,0.000949,0.000138
0.000389,0.001416,0.000133
0.000421,0.001046,0.000162
0.000414,0.001748,0.00015
0.000383,0.00085,0.000151
0.000392,0.001205,0.000179
0.000393,0.000855,0.000132
0.000431,0.001683,0.000178
0.000392,0.000966,0.000127
0.000388,0.001703,0.000135
0.000394,0.000975,0.00012
0.000407,0.001086,0.000144
0.000392,0.000947,0.000127
0.000381,0.001347,0.000134
0.000396,0.000956,0.000126
0.000407,0.001458,0.000188
0.000392,0.000939,0.000127
0.00038,0.001449,0.000138
0.00038,0.000911,0.000128
0.000381,0.001537,0.000229
0.000379,0.000934,0.000127
0.000383,0.001955,0.000175
0.000394,0.000987,0.000143
0.000382,0.001623,0.000156
0.000378,0.000881,0.000133
0.000465,0.001252,0.000165
0.000394,0.001071,0.00013
0.00044,0.001789,0.00015
0.000417,0.000981,0.000135
0.000414,0.001534,0.0002
0.000388,0.000962,0.000125
0.000384,0.001782,0.000744
0.000416,0.001144,0.000175
0.000416,0.001709,0.000188
0.000412,0.00098,0.000145
0.000385,0.001471,0.000156
0.000385,0.000906,0.000155
0.000388,0.001556,0.000172
0.000423,0.001011,0.00014
0.000384,0.001758,0.000174
0.000371,0.000956,0.00013
0.000387,0.001419,0.000137
0.000411,0.000958,0.000148
0.000383,0.001342,0.000135
0.000381,0.000889,0.000123
0.00038,0.00135,0.000142
0.000381,0.000915,0.000134
0.000412,0.001742,0.000182
0.00041,0.000928,0.000138
0.000826,0.001713,0.000146
0.000422,0.001009,0.000153
0.000444,0.001908,0.000148
0.000373,0.000856,0.000122
0.000382,0.002536,0.000141
0.000415,0.001098,0.000145
0.000386,0.001526,0.000171
0.000377,0.000931,0.000128
0.00041,0.002025,0.000152
0.000415,0.001067,0.000141
0.000411,0.00183,0.000168
0.000411,0.0011,0.000203
0.000417,0.001693,0.000142
0.000425,0.001023,0.000152
0.000423,0.001402,0.000156
0.000381,0.00108,0.000152
0.000384,0.001427,0.000139
0.00044,0.001028,0.00014
0.000411,0.001814,0.000157
0.000414,0.000893,0.000162
0.000421,0.00176,0.000262
0.000414,0.000962,0.00014
0.000412,0.001725,0.000153
0.000385,0.000848,0.000138
0.00038,0.001733,0.000138
0.000381,0.000924,0.000162
0.000396,0.001234,0.000189
0.00038,0.000944,0.000129
0.000386,0.001653,0.000179
0.000381,0.000904,0.000126
0.0004,0.001196,0.000152
0.000406,0.000857,0.000126
0.000383,0.001258,0.000137
0.000374,0.000981,0.00013
0.00038,0.00139,0.000139
0.000382,0.000971,0.000135
0.000382,0.001606,0.000166
0.000378,0.000871,0.000127
0.000381,0.001488,0.000156
0.00038,0.000902,0.000137
0.00038,0.001394,0.000164
0.000409,0.000915,0.000133
0.000383,0.001551,0.000134
0.000391,0.000936,0.000155
0.000384,0.001088,0.000173
0.000382,0.000916,0.000127
0.000385,0.001511,0.000134
0.000377,0.001072,0.000137
0.000385,0.001731,0.000196
0.000379,0.000915,0.000137
0.000383,0.001565,0.000155
0.000431,0.001071,0.000135
0.000427,0.000949,0.000145
0.000409,0.001004,0.000138
0.000411,0.00152,0.000207
0.000569,0.000981,0.000134
0.00041,0.001676,0.000145
0.000411,0.000995,0.000137
0.000418,0.001562,0.000178
0.000415,0.000984,0.000141
0.000378,0.001419,0.000187
0.000377,0.000922,0.000139
0.000384,0.001581,0.00014
0.000422,0.000969,0.000138
0.000412,0.00141,0.000179
0.000419,0.001017,0.000144
0.000402,0.002038,0.000134
0.000423,0.000865,0.000149
0.000421,0.00134,0.000151
0.000377,0.000968,0.000137
0.000383,0.001422,0.00018
0.000391,0.000948,0.000135
0.000392,0.001494,0.000136
0.00038,0.000966,0.000187
0.000382,0.001352,0.000183
0.000382,0.001076,0.000138
0.000382,0.001492,0.000138
0.00038,0.000811,0.000139
0.000431,0.001981,0.000152
0.000387,0.001045,0.000131
0.000381,0.001005,0.000137
0.000383,0.000899,0.000129
0.000409,0.001596,0.000134
0.000412,0.001076,0.00015
0.000382,0.001614,0.000134
0.000387,0.000933,0.000136
0.000417,0.001418,0.000133
0.000383,0.000928,0.000137
0.00041,0.00097,0.000144
0.000408,0.001014,0.00016
0.000413,0.001649,0.000148
0.000385,0.000867,0.000141
0.00038,0.001195,0.000137
0.000408,0.000826,0.000135
0.000379,0.001201,0.000171
0.000385,0.00094,0.000129
0.000383,0.001563,0.000134
0.00038,0.001125,0.000137
0.000411,0.001779,0.000205
0.000376,0.001011,0.000135
0.000669,0.000958,0.000134
0.000425,0.000877,0.000127
0.000378,0.001078,0.000211
0.00038,0.000927,0.000127
0.000384,0.001568,0.000138
0.00038,0.000909,0.000197
0.000385,0.001583,0.000197
0.000384,0.000876,0.00013
0.000385,0.001091,0.000141
0.000413,0.000813,0.000166
0.000394,0.00166,0.000189
0.000396,0.000878,0.000152
0.000381,0.001583,0.000187
0.000412,0.001001,0.000157
0.000427,0.001078,0.000145
0.00039,0.000906,0.000128
0.000379,0.001449,0.000135
0.000386,0.000852,0.000123
0.000381,0.001416,0.000142
0.000383,0.00098,0.000127
0.0004,0.001669,0.000141
0.000383,0.001069,0.000131
0.000396,0.001699,0.000236
0.000388,0.000907,0.000151
0.000394,0.001599,0.000186
0.000453,0.001024,0.000137
0.000602,0.00176,0.000201
0.000385,0.000899,0.00013
0.000389,0.002266,0.000134
0.000396,0.000831,0.000132
0.000395,0.001418,0.000148
0.0004,0.000921,0.000159
0.000382,0.0018,0.000226
0.000384,0.000871,0.000131
0.000391,0.001347,0.000142
0.000395,0.000904,0.000136
0.00042,0.001465,0.000145
0.000413,0.000905,0.000127
0.00054,0.001678,0.000195
0.000384,0.00081,0.000143
0.000409,0.001676,0.000185
0.000394,0.000982,0.000127
0.000412,0.001552,0.000134
0.000389,0.000811,0.00014
0.000382,0.001679,0.000134
0.000387,0.000882,0.000137
0.000383,0.001416,0.000154
0.000397,0.001039,0.000135
0.000393,0.001152,0.000177
0.000418,0.00119,0.000143
0.000399,0.00149,0.000134
0.000386,0.000878,0.000162
0.00041,0.00095,0.000142
0.000384,0.001043,0.00013
0.000397,0.001347,0.000132
0.000383,0.00091,0.000124
0.00038,0.001153,0.000154
0.000398,0.000945,0.000163
0.00039,0.001796,0.000187
0.000387,0.000953,0.000136
0.000386,0.001676,0.000136
0.000384,0.000871,0.000134
0.000575,0.001678,0.000142
0.000398,0.001047,0.000132
0.000384,0.001089,0.000139
0.000383,0.000913,0.000135
0.000381,0.001429,0.000155
0.000392,0.000952,0.000128
0.000382,0.001316,0.000134
0.000379,0.000882,0.000122
0.000379,0.001015,0.000131
0.000379,0.00094,0.00013
0.000409,0.001873,0.000137
0.000385,0.000923,0.000137
0.000398,0.001834,0.000141
0.00038,0.001082,0.000147
0.000385,0.001516,0.000136
0.000389,0.000977,0.000124
0.000398,0.001357,0.000139
0.000409,0.000894,0.000124
0.000376,0.001587,0.000203
0.000411,0.000882,0.000137
0.000385,0.00118,0.000155
0.000394,0.000873,0.000127
0.000386,0.001201,0.000147
0.000379,0.000888,0.000135
0.000413,0.001307,0.000137
0.000379,0.001046,0.000124
0.000382,0.001332,0.000133
0.000397,0.001188,0.000179
0.00038,0.00151,0.000672
0.000424,0.000894,0.000142
0.000378,0.00163,0.000148
0.000413,0.000967,0.000137
0.000383,0.001674,0.000154
0.000385,0.000943,0.000129
0.000356,0.001023,0.000138
0.00037,0.000761,0.000129
0.000355,0.001009,0.000126
0.000447,0.001094,0.000147
0.000416,0.001204,0.000148
0.000377,0.001103,0.000134
0.000383,0.001552,0.000217
0.000408,0.000985,0.000138
0.000416,0.001117,0.000148
0.000425,0.001026,0.000177
0.000425,0.001879,0.000151
0.000447,0.000889,0.000136
0.00043,0.001828,0.000202
0.000424,0.001074,0.000135
0.000426,0.001493,0.000159
0.000407,0.00102,0.000141
0.000413,0.001849,0.00022
0.000407,0.001069,0.000149
0.000359,0.001555,0.000131
0.000417,0.001042,0.000139
0.000413,0.00168,0.000165
0.000405,0.000925,0.00014
0.000413,0.001163,0.000149
0.000441,0.001019,0.000147
0.00044,0.001324,0.000208
0.000414,0.001363,0.000287
0.00041,0.00221,0.000153
0.000444,0.000978,0.000216
0.000365,0.00094,0.00016
0.000363,0.000955,0.000121
0.000415,0.00235,0.000152
0.000413,0.001066,0.000139
0.000446,0.001865,0.000161
0.000382,0.000964,0.000137
0.000382,0.001593,0.000144
0.000382,0.000947,0.000137
0.000409,0.002042,0.00015
0.000426,0.000948,0.00014
0.000393,0.000961,0.000382
0.00038,0.000991,0.000149
0.000409,0.001759,0.000155
0.000416,0.00103,0.000147
0.000417,0.002042,0.000153
0.000427,0.000879,0.000157
0.000394,0.001498,0.00014
0.000424,0.001051,0.000137
0.000366,0.001479,0.00013
0.000412,0.000899,0.000124
0.000412,0.001506,0.000157
0.000392,0.000948,0.000147
0.000427,0.001334,0.000175
0.000406,0.000946,0.000171
0.000411,0.001601,0.000217
0.00042,0.001079,0.000136
0.0005,0.002118,0.000197
0.000417,0.000933,0.000164
0.000399,0.001872,0.000144
0.000395,0.001078,0.000178
0.000386,0.001711,0.000208
0.00038,0.000814,0.000131
0.000385,0.001696,0.000138
0.000421,0.001005,0.000153
0.000406,0.001644,0.000194
0.00041,0.00111,0.000136
0.000405,0.001665,0.000149
0.000459,0.00101,0.000154
0.000469,0.00155,0.000163
0.000415,0.000989,0.000135
0.000407,0.001825,0.00015
0.000413,0.001031,0.000134
0.000415,0.001143,0.000155
0.000409,0.000945,0.000149
0.000409,0.00184,0.000161
0.000412,0.00091,0.000138
0.000418,0.001911,0.000157
0.000412,0.001117,0.00014
0.00039,0.0016,0.000191
0.000382,0.000953,0.000137
0.000396,0.001058,0.000134
0.000427,0.000943,0.000135
0.00048,0.001591,0.000185
0.000386,0.000638,0.000128
0.000385,0.001277,0.000151
0.000381,0.001169,0.00015
0.000382,0.001994,0.000144
0.000427,0.000926,0.000132
0.00038,0.001652,0.000198
0.000382,0.001084,0.000142
0.000421,0.001724,0.000147
0.000382,0.000861,0.000168
0.000414,0.001675,0.000162
0.000449,0.001061,0.000223
0.000409,0.001717,0.000175
0.000416,0.001111,0.000154
0.000433,0.001107,0.000217
0.000411,0.001076,0.00014
0.000379,0.001727,0.000188
0.000381,0.000947,0.000129
0.000377,0.001786,0.000142
0.000382,0.001,0.00013
0.000379,0.001772,0.000176
0.000406,0.001075,0.000161
0.000414,0.001467,0.000143
0.000412,0.001142,0.000158
0.000422,0.001433,0.000154
0.000414,0.00101,0.000152
0.000424,0.001163,0.000143
0.000431,0.000978,0.00016
0.000434,0.00188,0.000171
0.00043,0.001123,0.000151
0.00047,0.001789,0.000175
0.000406,0.001088,0.00014
0.000424,0.001684,0.000149
0.000395,0.001008,0.000136
0.000408,0.001025,0.000136
0.000386,0.000948,0.000136
0.000522,0.001491,0.000161
0.000429,0.001,0.00016
0.000726,0.001832,0.000155
0.000405,0.000908,0.000139
0.00072,0.002027,0.000158
0.000441,0.001054,0.000145
0.00042,0.001546,0.000151
0.000415,0.001152,0.000143
0.000455,0.001489,0.000149
0.000405,0.000964,0.000133
0.000385,0.001487,0.000146
0.000398,0.000805,0.000125
0.000416,0.001207,0.000154
0.000402,0.00109,0.000153
0.000384,0.001689,0.000199
0.000398,0.00088,0.000147
0.00036,0.002138,0.000181
0.000361,0.000809,0.000118
0.00048,0.001005,0.000153
0.000434,0.001018,0.000144
0.000409,0.001356,0.000155
0.000412,0.00094,0.000213
0.000416,0.001863,0.000209
0.00041,0.000955,0.000183
0.000532,0.001609,0.000148
