Time,Joint States
1729576646.3495715,"(0.16575085793844652, 0.03836825415241817, 0.6292393680996581, -0.05522330830078125, -0.7976700087890626, -0.6258641607421875, -0.06749515458984376, -0.013805827075195313, 1.1848116882266733, -0.11658253974609376, 0.7934554958720078, -0.6611457188232422, 0.07520177813873963, 0.7888513053737177, 0.44507174816805084, 0.049111365315095266, 0.003069460332193454, -1.0599807232177736, 0.056785016145578904, -0.8007379703613282)"
1729576646.357571,"(0.16882031827063998, 0.04450717481680508, 0.6231004474352712, -0.042951462011718754, -0.7900001048583984, -0.6212622183837891, -0.05522330830078125, -0.013805827075195313, 1.1756033072300929, -0.11504855895996094, 0.7919207657059112, -0.6611457188232422, 0.08441015913531999, 0.7888513053737177, 0.44507174816805084, 0.06599339714215927, 0.004604190498290181, -1.0584467424316406, 0.056785016145578904, -0.8007379703613282)"
1729576646.3655703,"(0.1703550484367367, 0.049111365315095266, 0.6169615267708842, -0.027611654150390626, -0.7900001048583984, -0.6166602760253906, -0.042951462011718754, -0.013805827075195313, 1.163325465901319, -0.11198059738769532, 0.7919207657059112, -0.6611457188232422, 0.09208380996580362, 0.7888513053737177, 0.44660647833414757, 0.07980596863702981, 0.006138920664386908, -1.0599807232177736, 0.05831974631167563, -0.8007379703613282)"
1729576646.3735719,"(0.17342450876893015, 0.05525028597948217, 0.6108226061064973, -0.013805827075195313, -0.7900001048583984, -0.6105243528808594, -0.03067961572265625, -0.013805827075195313, 1.1495128944064485, -0.1104466166015625, 0.7919207657059112, -0.662679699609375, 0.101292190962384, 0.7888513053737177, 0.45121066883243777, 0.09208380996580362, 0.006138920664386908, -1.0645826655761719, 0.06445866697606253, -0.8007379703613282)"
1729576646.3815713,"(0.17495923893502688, 0.05985447647777235, 0.6062184156082072, 0.001534730166096727, -0.7900001048583984, -0.6043884297363281, -0.01687378864746094, -0.013805827075195313, 1.1357003229115779, -0.1104466166015625, 0.7919207657059112, -0.6657476611816406, 0.11357003229115781, 0.7903860355398143, 0.4573495894968247, 0.10589638146067416, 0.007673650830483635, -1.0722525695068361, 0.06906285747435272, -0.802271951147461)"
1729576646.3895693,"(0.17802869926722031, 0.06445866697606253, 0.6046836854421104, 0.01534730166096727, -0.7900001048583984, -0.5997864873779297, -0.004601942358398438, -0.013805827075195313, 1.1203530212506108, -0.1104466166015625, 0.7919207657059112, -0.6734175651123048, 0.1258478736199316, 0.7903860355398143, 0.46809270065950176, 0.1197089529555447, 0.009208380996580362, -1.0860583965820314, 0.07213231780654616, -0.8007379703613282)"
1729576646.3975704,"(0.17956342943331705, 0.06906285747435272, 0.6000794949438203, 0.027625142989741086, -0.7915340856445313, -0.5936505642333985, 0.007673650830483635, -0.013805827075195313, 1.1065404497557403, -0.1104466166015625, 0.7919207657059112, -0.6826214498291016, 0.13812571494870543, 0.7903860355398143, 0.4819052721543723, 0.135056254616512, 0.012277841328773817, -1.098330242871094, 0.0736670479726429, -0.8007379703613282)"
1729576646.405575,"(0.17956342943331705, 0.0736670479726429, 0.5970100346116268, 0.04143771448461163, -0.7915340856445313, -0.5859806603027344, 0.018416761993160724, -0.013805827075195313, 1.0927278782608698, -0.1104466166015625, 0.7934554958720078, -0.6933593153320313, 0.15040355627747926, 0.7888513053737177, 0.49725257381533955, 0.1473340959452858, 0.01534730166096727, -1.1167380123046875, 0.0736670479726429, -0.8007379703613282)"
1729576646.4135718,"(0.17956342943331705, 0.07673650830483635, 0.5924058441133366, 0.05371555581338545, -0.7915340856445313, -0.5798447371582032, 0.029159873155837814, -0.013805827075195313, 1.080450036932096, -0.1104466166015625, 0.7919207657059112, -0.7086991231933594, 0.16421612777234978, 0.7888513053737177, 0.517204065974597, 0.16114666744015635, 0.019951492159257452, -1.1428156856689453, 0.07213231780654616, -0.8007379703613282)"
1729576646.4215698,"(0.18109815959941378, 0.07980596863702981, 0.5893363837811432, 0.06599339714215927, -0.7915340856445313, -0.5737088140136719, 0.039902984318514904, -0.013805827075195313, 1.0651027352711284, -0.10737865502929689, 0.7934554958720078, -0.728640873413086, 0.17802869926722031, 0.7857818450415243, 0.5386902882999511, 0.1764939691011236, 0.02148622232535418, -1.1719613206054689, 0.07213231780654616, -0.8007379703613282)"
