Time,Joint States
1729502166.1933196,"(0.019951492159257452, -0.3528155808105469, 0.5187387961406937, 0.12431314345383489, -0.7838641817138673, -0.5752427947998048, -0.09664078952636719, -0.004601942358398438, 0.821080638861749, 0.15040355627747926, 0.7903860355398143, -0.7439806812744141, 0.2501610170737665, 0.7827123847093308, 0.5264124469711773, 0.07520177813873963, 0.003069460332193454, -1.259398225415039, 0.4220507956765999, -0.7930680664306641)"
1729502166.2013204,"(0.019951492159257452, -0.3528155808105469, 0.5264124469711773, 0.1304520641182218, -0.7838641817138673, -0.5844466795166016, -0.09664078952636719, -0.004601942358398438, 0.821080638861749, 0.15500774677576942, 0.7903860355398143, -0.7439806812744141, 0.2516957472398632, 0.7827123847093308, 0.5125998754763068, 0.0736670479726429, 0.004604190498290181, -1.2655341485595704, 0.4297244465070836, -0.7915340856445313)"
1729502166.209321,"(0.023020952491450905, -0.3528155808105469, 0.5264124469711773, 0.12277841328773816, -0.7838641817138673, -0.5875146410888672, -0.09664078952636719, 0.0, 0.8195459086956521, 0.16114666744015635, 0.7888513053737177, -0.7470486428466797, 0.2501610170737665, 0.7827123847093308, 0.5079956849780166, 0.06906285747435272, 0.004604190498290181, -1.2701360909179689, 0.43586336717147045, -0.7930680664306641)"
1729502166.2173226,"(0.023020952491450905, -0.3528155808105469, 0.5248777168050807, 0.12431314345383489, -0.7838641817138673, -0.5905826026611328, -0.09510680874023437, 0.004604190498290181, 0.821080638861749, 0.16421612777234978, 0.7888513053737177, -0.745514662060547, 0.24709155674157304, 0.7827123847093308, 0.5033914944797264, 0.06599339714215927, 0.003069460332193454, -1.2716700717041016, 0.44507174816805084, -0.7930680664306641)"
1729502166.2253215,"(0.023020952491450905, -0.3528155808105469, 0.5218082564728872, 0.12431314345383489, -0.7838641817138673, -0.5921165834472657, -0.09510680874023437, 0.007673650830483635, 0.8195459086956521, 0.16728558810454325, 0.7903860355398143, -0.745514662060547, 0.2516957472398632, 0.7842471148754275, 0.5049262246458232, 0.067528127308256, -0.003067961572265625, -1.2732040524902344, 0.44967593866634104, -0.7930680664306641)"
1729502166.2333217,"(0.023020952491450905, -0.3528155808105469, 0.5187387961406937, 0.1258478736199316, -0.7853981625, -0.5905826026611328, -0.09357282795410157, 0.007673650830483635, 0.8180111785295555, 0.16268139760625308, 0.7903860355398143, -0.7424467004882813, 0.25323047740595994, 0.7827123847093308, 0.5110651453102101, 0.06599339714215927, -0.003067961572265625, -1.2732040524902344, 0.44660647833414757, -0.7930680664306641)"
1729502166.241321,"(0.023020952491450905, -0.3512816000244141, 0.5156693358085003, 0.12738260378602834, -0.7853981625, -0.5921165834472657, -0.08743690480957032, 0.006138920664386908, 0.8180111785295555, 0.13966044511480216, 0.7888513053737177, -0.7409127197021484, 0.25323047740595994, 0.7842471148754275, 0.5279471771372741, 0.06599339714215927, 0.003069460332193454, -1.285475898779297, 0.4251202560087934, -0.7915340856445313)"
1729502166.249326,"(0.02148622232535418, -0.3482136384521485, 0.5110651453102101, 0.12738260378602834, -0.7853981625, -0.5905826026611328, -0.08436894323730469, 0.007673650830483635, 0.814941718197362, 0.11357003229115781, 0.7903860355398143, -0.7378447581298828, 0.25323047740595994, 0.7811776545432341, 0.5463639391304349, 0.06599339714215927, 0.003069460332193454, -1.2824079372070314, 0.4005645733512458, -0.7900001048583984)"
1729502166.2573216,"(0.019951492159257452, -0.34667965766601566, 0.5079956849780166, 0.12738260378602834, -0.7869321432861328, -0.5890486218750001, -0.08283496245117188, 0.006138920664386908, 0.810337527699072, 0.08441015913531999, 0.7903860355398143, -0.7194369886962891, 0.24402209640937958, 0.7781081942110406, 0.5647807011235956, 0.06599339714215927, 0.003069460332193454, -1.2670681293457031, 0.37140470019540794, -0.7823302009277344)"
1729502166.2653213,"(0.019951492159257452, -0.3497476192382813, 0.5049262246458232, 0.1304520641182218, -0.7853981625, -0.5813787179443359, -0.08436894323730469, 0.004604190498290181, 0.8072680673668785, 0.05525028597948217, 0.7903860355398143, -0.7194369886962891, 0.2516957472398632, 0.7781081942110406, 0.5801280027845628, 0.06445866697606253, -0.0015339807861328126, -1.2486603599121096, 0.3391753667073767, -0.7930680664306641)"
1729502166.2733197,"(0.023020952491450905, -0.3528155808105469, 0.500322034147533, 0.13198679428431853, -0.7838641817138673, -0.5706408524414063, -0.08436894323730469, 0.001534730166096727, 0.804198607034685, 0.023020952491450905, 0.7903860355398143, -0.728640873413086, 0.25323047740595994, 0.7827123847093308, 0.5954753044455301, 0.06445866697606253, -0.007669903930664063, -1.2225826865478517, 0.3023418427210552, -0.7930680664306641)"
1729502166.2813191,"(0.024555682657547633, -0.3528155808105469, 0.4941831134831461, 0.1304520641182218, -0.7823302009277344, -0.5537670637939454, -0.08436894323730469, 0.004604190498290181, 0.8026638768685882, -0.007669903930664063, 0.7888513053737177, -0.7071651424072266, 0.25323047740595994, 0.7842471148754275, 0.6154267966047876, 0.06599339714215927, -0.009203884716796876, -1.1903690900390627, 0.27625142989741086, -0.7930680664306641)"
1729502166.2893195,"(0.024555682657547633, -0.3543495615966797, 0.4957178436492428, 0.13198679428431853, -0.7853981625, -0.5338253135742188, -0.08590292402343751, 0.004604190498290181, 0.8026638768685882, -0.03834951965332031, 0.7903860355398143, -0.6780195074707032, 0.2516957472398632, 0.7857818450415243, 0.6415172094284319, 0.067528127308256, -0.00613592314453125, -1.1596894743164063, 0.2455568265754763, -0.794602047216797)"
1729502166.2973187,"(0.019951492159257452, -0.3543495615966797, 0.4941831134831461, 0.13659098478260873, -0.7838641817138673, -0.5123495825683594, -0.08590292402343751, 0.004604190498290181, 0.804198607034685, -0.07056311616210938, 0.7888513053737177, -0.6534758148925782, 0.24862628690766977, 0.7842471148754275, 0.6676076222520763, 0.067528127308256, -0.0015339807861328126, -1.1305438393798828, 0.21332749308744506, -0.794602047216797)"
1729502166.3053217,"(0.02148622232535418, -0.3528155808105469, 0.4911136531509526, 0.13812571494870543, -0.7838641817138673, -0.4893398707763672, -0.08590292402343751, 0.004604190498290181, 0.804198607034685, -0.10584467424316407, 0.7888513053737177, -0.6197282375976563, 0.24709155674157304, 0.7842471148754275, 0.6952327652418173, 0.06906285747435272, 0.004604190498290181, -1.1029321852294922, 0.17956342943331705, -0.7930680664306641)"
1729502166.31332,"(0.023020952491450905, -0.3528155808105469, 0.48804419281875916, 0.1411951752808989, -0.7823302009277344, -0.4617282166259766, -0.08743690480957032, 0.004604190498290181, 0.8057333372007817, -0.14266021311035157, 0.7888513053737177, -0.5875146410888672, 0.24709155674157304, 0.7827123847093308, 0.7228579082315585, 0.06906285747435272, 0.003069460332193454, -1.0707185887207031, 0.14426463561309233, -0.7915340856445313)"
1729502166.3213189,"(0.02148622232535418, -0.3528155808105469, 0.4865094626526624, 0.1427299054469956, -0.7823302009277344, -0.4325825816894531, -0.08743690480957032, 0.004604190498290181, 0.8057333372007817, -0.1825437135498047, 0.7888513053737177, -0.5553010445800781, 0.24709155674157304, 0.7827123847093308, 0.7566219718856864, 0.06906285747435272, 0.001534730166096727, -1.0293011074951173, 0.11050057195896434, -0.7915340856445313)"
1729502166.3293188,"(0.023020952491450905, -0.3528155808105469, 0.4849747324865657, 0.14426463561309233, -0.7838641817138673, -0.4019029659667969, -0.08897088559570313, 0.003069460332193454, 0.8072680673668785, -0.2193592524169922, 0.7888513053737177, -0.5200194864990235, 0.25323047740595994, 0.7811776545432341, 0.7857818450415243, 0.067528127308256, -0.0015339807861328126, -0.9848156646972657, 0.07827123847093308, -0.7915340856445313)"
1729502166.3373218,"(0.023020952491450905, -0.3528155808105469, 0.483440002320469, 0.1473340959452858, -0.7838641817138673, -0.3727573310302735, -0.09050486638183594, 0.003069460332193454, 0.8088027975329751, -0.24697090656738283, 0.7903860355398143, -0.4878058899902344, 0.25323047740595994, 0.7827123847093308, 0.8180111785295555, 0.067528127308256, -0.009203884716796876, -0.949534106616211, 0.03836825415241817, -0.7915340856445313)"
1729502166.3453212,"(0.023020952491450905, -0.3528155808105469, 0.4819052721543723, 0.1473340959452858, -0.7869321432861328, -0.34667965766601566, -0.09203884716796876, 0.003069460332193454, 0.8088027975329751, -0.26998061835937504, 0.7903860355398143, -0.45405831269531255, 0.25323047740595994, 0.7827123847093308, 0.8517752421836835, 0.067528127308256, -0.010737865502929688, -0.9127185677490235, 0.004604190498290181, -0.7930680664306641)"
1729502166.3533206,"(0.023020952491450905, -0.3528155808105469, 0.48037054198827556, 0.15040355627747926, -0.7900001048583984, -0.32060198430175785, -0.09050486638183594, 0.001534730166096727, 0.810337527699072, -0.28838838779296877, 0.7903860355398143, -0.42184471618652347, 0.25323047740595994, 0.7811776545432341, 0.8840045756717148, 0.067528127308256, -0.010737865502929688, -0.875903028881836, -0.02914563493652344, -0.7915340856445313)"
1729502166.3613234,"(0.023020952491450905, -0.3528155808105469, 0.48037054198827556, 0.15040355627747926, -0.7900001048583984, -0.2914563493652344, -0.09050486638183594, 0.001534730166096727, 0.8118722578651686, -0.3052621764404297, 0.7903860355398143, -0.3880971388916016, 0.2516957472398632, 0.7827123847093308, 0.9177686393258427, 0.06906285747435272, -0.009203884716796876, -0.8406214708007813, -0.06902913537597656, -0.7915340856445313)"
1729502166.3693206,"(0.02148622232535418, -0.3528155808105469, 0.4788358118221788, 0.15040355627747926, -0.7884661240722657, -0.2745825607177735, -0.09050486638183594, 0.001534730166096727, 0.814941718197362, -0.3175340227294922, 0.7888513053737177, -0.3558835423828125, 0.2501610170737665, 0.7827123847093308, 0.9530674331460675, 0.067528127308256, -0.009203884716796876, -0.802271951147461, -0.10584467424316407, -0.7930680664306641)"
1729502166.37732,"(0.019951492159257452, -0.3528155808105469, 0.4788358118221788, 0.15193828644357596, -0.7853981625, -0.26231071442871096, -0.09050486638183594, 0.0, 0.814941718197362, -0.3252039266601563, 0.7888513053737177, -0.32060198430175785, 0.25323047740595994, 0.7827123847093308, 0.9883662269662922, 0.06906285747435272, -0.007669903930664063, -0.7669903930664063, -0.13959225153808594, -0.7930680664306641)"
1729502166.3853219,"(0.019951492159257452, -0.3528155808105469, 0.4788358118221788, 0.15040355627747926, -0.7838641817138673, -0.2546408104980469, -0.09050486638183594, 0.0, 0.821080638861749, -0.3328738305908203, 0.7903860355398143, -0.28685440700683595, 0.25323047740595994, 0.7827123847093308, 1.0205955604543235, 0.07213231780654616, -0.009203884716796876, -0.7301748541992188, -0.17487380961914065, -0.7930680664306641)"
1729502166.3933182,"(0.02148622232535418, -0.3528155808105469, 0.4788358118221788, 0.15040355627747926, -0.7838641817138673, -0.24697090656738283, -0.08897088559570313, -0.004601942358398438, 0.8333584801905228, -0.33440781137695313, 0.7903860355398143, -0.25310682971191406, 0.2547652075720567, 0.7827123847093308, 1.0574290844406449, 0.07673650830483635, -0.009203884716796876, -0.6948932961181641, -0.2070874061279297, -0.7930680664306641)"
