Time,Joint States
1729497702.671053,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.018407769433593752, -0.7884661240722657, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.033764063654128, -0.003067961572265625, -0.8774370096679688, 0.08594488930141672, -0.794602047216797)"
1729497702.6789799,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.033764063654128, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.687062,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.0015339807861328126, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.6949806,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03374757729492188, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.0015339807861328126, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.7030056,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03374757729492188, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.033764063654128, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.7110188,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.0015339807861328126, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.7190154,"(0.019951492159257452, -0.3543495615966797, 0.5079956849780166, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.003067961572265625, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.727049,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.43104860090332037, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7857818450415243, -0.5138835633544923, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.033764063654128, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.7349837,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.743031,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4220507956765999, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.7510333,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7884661240722657, -0.42951462011718755, -0.03528155808105469, -0.003067961572265625, 0.84870578185149, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.7589867,"(0.019951492159257452, -0.3543495615966797, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.767022,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.019941750219726564, -0.7884661240722657, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.0015339807861328126, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.775023,"(0.019951492159257452, -0.3543495615966797, 0.5079956849780166, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.7829914,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03374757729492188, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7811776545432341, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.7910445,"(0.019951492159257452, -0.3543495615966797, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.7989843,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.8069868,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.8150413,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7857818450415243, -0.5138835633544923, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.822985,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4220507956765999, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.830991,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7857818450415243, -0.5123495825683594, 0.027625142989741086, 0.7811776545432341, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.839045,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7811776545432341, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.8470242,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.8550396,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.863039,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7857818450415243, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.8710265,"(0.019951492159257452, -0.3543495615966797, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03374757729492188, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.0015339807861328126, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.8789852,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.886986,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.8949869,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03374757729492188, -0.003067961572265625, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4220507956765999, 0.03222933348803127, -0.0015339807861328126, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.9029868,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.018407769433593752, -0.7900001048583984, -0.42951462011718755, -0.03374757729492188, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7811776545432341, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.9110436,"(0.019951492159257452, -0.3528155808105469, 0.5064609548119199, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03374757729492188, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.026090412823644358, 0.7796429243771373, 0.4220507956765999, 0.03222933348803127, -0.0015339807861328126, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
1729497702.9190433,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7796429243771373, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.794602047216797)"
1729497702.9269922,"(0.019951492159257452, -0.3528155808105469, 0.5079956849780166, -0.018407769433593752, -0.7884661240722657, -0.42951462011718755, -0.03528155808105469, -0.0015339807861328126, 0.8502405120175868, -0.09050486638183594, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7811776545432341, 0.4205160655105032, 0.03222933348803127, -0.003067961572265625, -0.8774370096679688, 0.08441015913531999, -0.7930680664306641)"
1729497702.9349883,"(0.019951492159257452, -0.3543495615966797, 0.5079956849780166, -0.019941750219726564, -0.7900001048583984, -0.42951462011718755, -0.03374757729492188, -0.0015339807861328126, 0.8502405120175868, -0.08897088559570313, 0.7873165752076209, -0.5123495825683594, 0.027625142989741086, 0.7811776545432341, 0.4205160655105032, 0.03222933348803127, -0.0015339807861328126, -0.875903028881836, 0.08441015913531999, -0.794602047216797)"
