Total Memory (GB),Used Memory (GB),Available Memory (GB),Memory Usage Percentage (%),CPU Usage Percentage (%)
7,4,5,22.9,50.6
7,4,5,22.9,54.3
7,4,5,22.9,55.2
7,4,5,22.9,56.9
7,4,5,22.9,49.6
7,4,5,22.9,50.0
7,4,5,22.9,54.7
7,4,5,23.0,55.9
7,4,5,23.0,57.2
7,4,5,23.0,50.1
7,4,5,23.0,49.2
7,4,5,23.1,57.2
7,4,5,23.1,50.0
7,4,5,22.9,46.6
7,4,5,22.9,46.6
7,4,5,22.9,46.6
7,4,5,22.9,46.3
7,4,5,22.9,46.2
7,4,5,22.9,45.8
7,4,5,22.9,47.4
7,4,5,22.9,47.7
7,4,5,22.9,46.5
7,4,5,22.9,45.9
7,4,5,22.9,45.7
7,4,5,22.9,47.1
7,4,5,22.9,46.9
7,4,5,22.9,45.6
7,4,5,22.9,47.1
7,4,5,22.9,47.4
7,4,5,22.9,51.1
7,4,5,22.9,48.7
7,4,5,22.9,49.2
7,4,5,22.9,50.8
7,4,5,22.9,49.4
7,4,5,22.9,49.4
7,4,5,22.9,61.4
7,4,5,22.9,54.0
7,4,5,22.8,48.5
7,4,5,22.9,49.4
7,4,5,22.8,51.9
7,4,5,22.8,48.6
7,4,5,23.0,53.9
7,4,5,23.0,56.4
7,4,5,22.8,55.1
7,4,5,22.8,56.2
7,4,5,22.7,47.2
7,4,5,22.7,46.7
7,4,5,22.7,48.5
7,4,5,22.7,47.6
7,4,5,22.7,46.1
