Total Memory (GB),Used Memory (GB),Available Memory (GB),Memory Usage Percentage (%),CPU Usage Percentage (%)
7,4,5,22.7,53.6
7,4,5,22.8,54.6
7,4,5,22.8,64.3
7,4,5,22.8,57.4
7,4,5,22.7,54.6
7,4,5,22.7,50.3
7,4,5,22.7,48.5
7,4,5,22.8,51.7
7,4,5,22.8,50.9
7,4,5,22.7,54.1
7,4,5,22.7,51.4
7,4,5,22.7,52.1
7,4,5,22.7,55.7
7,4,5,23.0,73.8
7,4,5,23.0,60.7
7,4,5,22.9,64.5
7,4,5,23.0,66.2
7,4,5,23.0,51.8
7,4,5,22.9,49.0
7,4,5,22.9,49.2
7,4,5,22.9,50.8
7,4,5,23.0,58.7
7,4,5,22.9,49.9
7,4,5,22.8,47.7
7,4,5,23.0,49.6
7,4,5,22.9,48.2
7,4,5,22.9,49.0
7,4,5,22.9,48.6
7,4,5,23.0,47.6
7,4,5,23.0,59.8
7,4,5,23.0,59.7
7,4,5,23.0,55.6
7,4,5,23.0,52.3
7,4,5,23.0,52.3
7,4,5,23.0,53.1
7,4,5,23.0,58.8
7,4,5,23.0,53.6
7,4,5,23.0,56.9
7,4,5,23.0,54.7
7,4,5,23.0,49.1
7,4,5,23.0,49.6
7,4,5,22.9,49.9
7,4,5,23.0,51.9
7,4,5,22.9,50.0
7,4,5,23.0,50.8
7,4,5,22.9,48.2
7,4,5,22.9,48.5
7,4,5,22.9,47.7
7,4,5,22.9,47.2
7,4,5,23.1,55.0
