Total Memory (GB),Used Memory (GB),Available Memory (GB),Memory Usage Percentage (%),CPU Usage Percentage (%)
7,4,6,15.2,1.0
7,4,6,15.2,1.5
7,4,6,15.2,0.3
7,4,6,15.2,0.3
7,4,6,15.2,0.5
7,4,6,15.2,0.5
7,4,6,15.2,0.3
7,4,6,15.2,0.7
7,4,6,15.2,0.7
7,4,6,15.2,0.3
7,4,6,15.2,0.5
7,4,6,15.2,0.0
7,4,6,15.2,0.3
7,4,6,15.2,0.0
7,4,6,15.2,0.5
7,4,6,15.2,0.5
7,4,6,15.2,0.7
7,4,6,15.2,0.3
7,4,6,15.2,1.8
7,4,6,15.2,0.3
7,4,6,15.2,0.3
7,4,6,15.2,1.5
7,4,6,15.2,0.3
7,4,6,15.2,0.3
7,4,6,15.2,0.5
7,4,6,15.2,1.2
7,4,6,15.2,0.3
7,4,6,15.2,0.8
7,4,6,15.2,0.3
7,4,6,15.2,0.5
7,4,6,15.2,0.5
7,4,6,15.2,1.0
7,4,6,15.2,0.3
7,4,6,15.2,0.0
7,4,6,15.2,0.7
7,4,6,15.2,0.5
7,4,6,15.2,0.7
7,4,6,15.2,1.0
7,4,6,15.2,0.5
7,4,6,15.2,0.5
7,4,6,15.2,0.3
7,4,6,15.2,0.3
7,4,6,15.2,0.3
7,4,6,15.2,0.5
7,4,6,15.2,0.3
7,4,6,15.2,1.0
7,4,6,15.2,0.3
7,4,6,15.2,0.8
7,4,6,15.2,0.5
7,4,6,15.2,0.5
