Total Memory (GB),Used Memory (GB),Available Memory (GB),Memory Usage Percentage (%),CPU Usage Percentage (%)
7,4,5,22.7,52.5
7,4,5,22.7,51.4
7,4,5,22.7,51.3
7,4,5,22.7,51.9
7,4,5,22.7,52.3
7,4,5,22.7,52.8
7,4,5,22.7,52.8
7,4,5,22.7,53.2
7,4,5,22.7,50.2
7,4,5,22.7,50.5
7,4,5,22.7,53.0
7,4,5,22.7,50.9
7,4,5,22.7,53.0
7,4,5,22.7,53.3
7,4,5,22.7,53.7
7,4,5,22.7,58.6
7,4,5,22.7,52.5
7,4,5,22.7,52.0
7,4,5,22.7,52.4
7,4,5,22.7,50.0
7,4,5,22.7,51.1
7,4,5,22.7,52.6
7,4,5,22.7,51.7
7,4,5,22.7,51.1
7,4,5,22.7,51.1
7,4,5,22.7,51.0
7,4,5,22.7,52.1
7,4,5,22.7,52.0
7,4,5,22.7,51.6
7,4,5,22.7,51.1
7,4,5,22.7,53.0
7,4,5,22.7,52.6
7,4,5,22.7,52.2
7,4,5,22.7,51.5
7,4,5,22.7,52.9
7,4,5,22.7,51.8
7,4,5,22.7,50.6
7,4,5,22.7,50.8
7,4,5,22.7,51.6
7,4,5,22.7,52.3
7,4,5,22.7,51.4
7,4,5,22.7,51.5
7,4,5,22.7,51.4
7,4,5,22.7,51.8
7,4,5,22.7,51.4
7,4,5,22.7,50.3
7,4,5,22.7,50.8
7,4,5,22.7,51.8
7,4,5,22.7,51.4
7,4,5,22.7,50.8
