Total Memory (GB),Used Memory (GB),Available Memory (GB),Memory Usage Percentage (%),CPU Usage Percentage (%)
7,4,5,23.7,46.3
7,4,5,23.7,47.2
7,4,5,23.7,47.2
7,4,5,23.7,47.4
7,4,5,23.9,54.9
7,4,5,23.9,47.4
7,4,5,23.9,45.8
7,4,5,23.5,46.1
7,4,5,22.7,48.2
7,4,5,22.7,47.2
7,4,5,22.7,52.4
7,4,5,22.7,50.8
7,4,5,22.7,47.3
7,4,5,22.7,47.4
7,4,5,22.6,47.3
7,4,5,22.6,47.8
7,4,5,22.6,48.1
7,4,5,22.6,46.9
7,4,5,22.5,47.5
7,4,5,22.7,48.2
7,4,5,22.7,47.8
7,4,5,22.7,47.1
7,4,5,22.6,47.3
7,4,5,22.6,47.7
7,4,5,22.1,53.2
7,4,6,21.7,61.2
7,4,6,21.7,47.3
7,4,6,21.7,47.3
7,4,6,21.7,47.1
7,4,6,21.7,47.8
7,4,6,21.7,46.9
7,4,6,21.7,45.8
7,4,6,21.7,47.6
7,4,6,21.7,46.9
7,4,6,21.8,47.5
7,4,6,21.8,46.9
7,4,6,21.8,47.2
7,4,6,21.8,47.1
7,4,6,21.7,46.4
7,4,6,21.7,45.8
7,4,6,21.7,46.7
7,4,6,21.7,47.5
7,4,6,21.7,47.0
7,4,6,21.7,47.0
7,4,6,21.7,47.3
7,4,6,21.7,47.5
7,4,6,21.7,47.4
7,4,6,21.8,47.3
7,4,6,21.8,46.8
7,4,6,21.8,47.2
